"geo_accession","title","source_name_ch1","sample_id","sample_name","tissue_type","condition"
"GSM1060726","Whole_Brain","Normal whole brain","GSM1060726","Whole_Brain","Normal whole brain","Normal"
"GSM1060727","Cerebral_cortex","Normal cerebral cortex","GSM1060727","Cerebral_cortex","Normal cerebral cortex","Normal"
"GSM1060728","Pons","Normal pons","GSM1060728","Pons","Normal pons","Normal"
"GSM1060729","Hippocampus","Normal hippocampus","GSM1060729","Hippocampus","Normal hippocampus","Normal"
"GSM1060730","Diencephalon","Normal diencephalon","GSM1060730","Diencephalon","Normal diencephalon","Normal"
"GSM1060731","Thalamus","Normal thalamus","GSM1060731","Thalamus","Normal thalamus","Normal"
"GSM1060732","Cerebellum","Normal cerebellum","GSM1060732","Cerebellum","Normal cerebellum","Normal"
"GSM1060733","Skeletal_muscle","Normal skeletal muscle","GSM1060733","Skeletal_muscle","Normal skeletal muscle","Normal"
"GSM1060734","Heart","Normal heart","GSM1060734","Heart","Normal heart","Normal"
"GSM1060735","Skin","Normal skin","GSM1060735","Skin","Normal skin","Normal"
"GSM1060736","Tongue","Normal tongue","GSM1060736","Tongue","Normal tongue","Normal"
"GSM1060737","Esophagus","Normal esophagus","GSM1060737","Esophagus","Normal esophagus","Normal"
"GSM1060738","Stomach","Normal stomach","GSM1060738","Stomach","Normal stomach","Normal"
"GSM1060739","Small_intestine","Normal small intestine","GSM1060739","Small_intestine","Normal small intestine","Normal"
"GSM1060740","Colon","Normal colon","GSM1060740","Colon","Normal colon","Normal"
"GSM1060741","Pancreas","Normal pancreas","GSM1060741","Pancreas","Normal pancreas","Normal"
"GSM1060742","Liver","Normal liver","GSM1060742","Liver","Normal liver","Normal"
"GSM1060743","Gallbladder","Normal gallbladder","GSM1060743","Gallbladder","Normal gallbladder","Normal"
"GSM1060744","Kidney","Normal kidney","GSM1060744","Kidney","Normal kidney","Normal"
"GSM1060745","Adrenal_gland","Normal adrenal gland","GSM1060745","Adrenal_gland","Normal adrenal gland","Normal"
"GSM1060746","Bladder","Normal bladder","GSM1060746","Bladder","Normal bladder","Normal"
"GSM1060747","Salivary_gland","Normal salivary gland","GSM1060747","Salivary_gland","Normal salivary gland","Normal"
"GSM1060748","Tonsil","Normal tonsil","GSM1060748","Tonsil","Normal tonsil","Normal"
"GSM1060749","Thyroid","Normal thyroid","GSM1060749","Thyroid","Normal thyroid","Normal"
"GSM1060750","Thymus","Normal thymus","GSM1060750","Thymus","Normal thymus","Normal"
"GSM1060751","Trachea","Normal trachea","GSM1060751","Trachea","Normal trachea","Normal"
"GSM1060752","Lung","Normal lung","GSM1060752","Lung","Normal lung","Normal"
