"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_Symbol","Gene_Description","Significance","abs_logFC"
"200784_s_at",-3.20343831843069,4.79483038322093,-12.3287883423675,1.65310786810689e-19,1.21409669949158e-16,33.9850790539733,"LRP1","LDL receptor related protein 1","Downregulated",3.20343831843069
"211323_s_at",-3.74186967425575,5.84539612012628,-12.1541073918403,3.34321136814923e-19,2.13648573756518e-16,33.295173010359,"ITPR1","inositol 1,4,5-trisphosphate receptor type 1","Downregulated",3.74186967425575
"201360_at",-2.81048891040519,10.4616516549076,-12.066613299864,4.76374607613638e-19,2.85865430693223e-16,32.9482058380068,"CST3","cystatin C","Downregulated",2.81048891040519
"218215_s_at",-1.87792271035137,6.30932901632269,-11.8143950904043,1.32864938435501e-18,7.26431669510635e-16,31.9428404341346,"NR1H2","nuclear receptor subfamily 1 group H member 2","Downregulated",1.87792271035137
"202861_at",-2.92388344439393,6.41168420773572,-11.7505351589016,1.72463544719115e-18,8.93306699473e-16,31.6870895718631,"MIR6883///PER1","microRNA 6883///period circadian clock 1","Downregulated",2.92388344439393
"202867_s_at",-1.75767071246367,6.69643669511389,-11.6193260799645,2.95177374389278e-18,1.43385483837765e-15,31.1601207349478,"DNAJB12","DnaJ heat shock protein family (Hsp40) member B12","Downregulated",1.75767071246367
"208791_at",-5.37157846016864,8.90311436565443,-11.5107383430137,4.61165079857673e-18,2.02612054326398e-15,30.7225061418975,"CLU","clusterin","Downregulated",5.37157846016864
"215706_x_at",-3.10925099634931,6.87695562956717,-11.4254944810199,6.55184675685024e-18,2.67890576702696e-15,30.378032181951,"ZYX","zyxin","Downregulated",3.10925099634931
"208792_s_at",-5.1089297014776,8.98062733954328,-11.21685489215,1.55258974017062e-17,5.41831796770042e-15,29.5315075713156,"CLU","clusterin","Downregulated",5.1089297014776
"200982_s_at",-2.61316442460769,8.21683729530316,-11.1617930481055,1.95106656738274e-17,6.71371556511905e-15,29.3073118599649,"ANXA6","annexin A6","Downregulated",2.61316442460769
"207966_s_at",-1.69920932205077,8.10119519122611,-10.9392077497101,4.92849008015802e-17,1.43500716789548e-14,28.3977452817639,"GLG1","golgi glycoprotein 1","Downregulated",1.69920932205077
"212257_s_at",-2.67630577438902,6.45389166158746,-10.8725897687582,6.50996297043663e-17,1.77964304381264e-14,28.124525152668,"SMARCA2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2","Downregulated",2.67630577438902
"210778_s_at",-2.52899753247927,5.99586853435925,-10.8493709373998,7.17378757007075e-17,1.93376814187984e-14,28.0291925966173,"MIR4800///MXD4","microRNA 4800///MAX dimerization protein 4","Downregulated",2.52899753247927
"210872_x_at",-3.24967387171486,4.7502363989554,-10.8238443303085,7.98244674322669e-17,2.08932051539338e-14,27.9243224858899,"GAS7","growth arrest specific 7","Downregulated",3.24967387171486
"1554690_a_at",-2.99816921363149,5.21247366215694,-10.7721394112179,9.91239592490635e-17,2.55371343600454e-14,27.7117067767622,"TACC1","transforming acidic coiled-coil containing protein 1","Downregulated",2.99816921363149
