"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","chromosome segregation","219/5251","357/13986",0.613445378151261,1.63390726696316,9.40694560113742,2.54603896003185e-20,1.52966020718713e-16,1.17841403234316e-16,"ECT2/STIL/FBXO5/SKA2/CENPF/ITGB3BP/NUF2/CENPL/MAD2L1/NCAPG/ZWILCH/BRCA1/NDC1/CCNE2/KIF14/MIS18A/ZWINT/HAUS1/DCAF13/SMC4/NDC80/CENPI/TTK/CENPQ/RACGAP1/SGO2/KIF18A/BRIP1/SPC25/NUSAP1/CENPW/KNTC1/ASPM/TOP2A/UBE2C/CENPU/CCNB1/DLGAP5/AURKA/CENPK/SMC2/KIF4A/ACTL6A/CENPE/SASS6/SMARCA2/KIF15/PRC1/RAD21/KIF23/KIFC1/NEK2/CDK1/KIF18B/CEP192/CHMP5/KIF11/CEP97/BUB3/BUB1/NSL1/SPDL1/HAUS6/KIF2C/CDT1/MND1/PTTG1/CDC6/RHOA/NCAPG2/SMC3/TRIP13/CENPN/SPICE1/PSMC3IP/BIRC5/SRPK1/UHRF1/ESPL1/KNL1/SMC5/NCOR1/CDCA8/CCNB2/CDCA2/RMI2/RCC2/ESCO2/TUBGCP5/BUB1B/SMARCD3/HJURP/MYBL2/GEN1/LSM14A/KAT5/CENPH/NUP43/PTTG3P/ARID2/ACTB/DSN1/OIP5/FANCD2/CENPM/NUP37/SPC24/CCNE1/ANAPC11/SPAG5/NDE1/DIAPH3/VPS4B/CCDC69/NIPBL/TPX2/CDC23/HAUS2/RGS14/KNSTRN/ANAPC4/MIS12/BCL7B/DUSP1/SGO1/STAG2/CLASP2/CDCA5/SKA1/MKI67/PRICKLE1/TUBGCP2/CDC20/NCAPD3/FAM83D/NUMA1/GPSM2/CDK5RAP2/SAC3D1/NDEL1/KAT2B/ZNF207/CHMP4B/STAG1/HAUS3/SKA3/LATS1/HAUS8/BCCIP/CENPO/ACTR2/SYCE1L/MZT1/PPP2R1A/PLK1/HAUS5/ARL8B/BECN1/NR3C1/SMC6/CHMP4C/DYNC1H1/GOLGA2/NCAPH/MAP9/MAPRE3/SYCE2/PHF10/SMC1A/SIRT2/KLHDC8B/EML3/CENPC/RAD18/CHMP6/NTMT1/INO80/PSRC1/APC/PIBF1/CHEK2/MAU2/LZTS2/DMC1/CEP63/KATNB1/ERCC2/TOP1/FMN2/SUN1/FLNA/TLK1/CEP85/TUBGCP6/C14orf39/RIOK3/UBE2I/DPF3/TOP3A/WRAP73/TEX15/TPR/KLHL22/PPP2R1B/TACC3/AURKB/NCAPH2/USP9X/MAD1L1/PPP2R2D/TTN/TUBB1/MTCL1/SYCE1/SYCP2/PRAP1/MAPRE2/SYCE3/RB1",219
"GO:0140694","membraneless organelle assembly","220/5251","363/13986",0.606060606060606,1.61423798064438,9.19336262887823,1.71201854158551e-19,5.14290369892287e-16,3.96197133018499e-16,"STIL/FBXO5/SKA2/CENPF/ALMS1/BRCA1/HAUS1/DCAF13/NDC80/RACGAP1/PLK4/CENPW/KNTC1/ASPM/DLGAP5/AURKA/CENPK/KIF4A/CENPE/TIA1/SASS6/KIF15/PLEC/PRC1/BRIX1/KIF23/KIFC1/NEK2/CEP76/CEP192/CHMP5/KIF11/CEP97/HAUS6/FXR1/MTERF3/FLII/RHOA/SMC3/SPICE1/BIRC5/UHRF1/CEP152/NCOR1/CDCA8/CCNB2/CFLAR/TUBGCP5/CEP295/MYBL2/LSM14A/CENPH/CENPA/RPS23/CAPRIN1/AR/PRKDC/SPAG5/WNK1/DIAPH3/VPS4B/CCDC69/TPX2/RTTN/MDM1/HAUS2/MYL9/PGM5/CDK2/SIX4/C2CD3/CEP135/ZFYVE1/CNOT2/MIS12/EIF5B/DAZAP2/STAG2/MYH11/CLASP2/SKA1/CSRP1/AKAP13/PRICKLE1/TUBGCP2/LSM4/CCP110/CDC20/CAPN3/NPM1/CEP44/NUMA1/SQSTM1/GPSM2/NGRN/ALKBH5/CDK5RAP2/SUGT1/SAC3D1/CNOT6/KAT2B/USP10/ZNF207/FMR1/CHMP4B/STAG1/HAUS3/SKA3/HAUS8/ANLN/CEP72/RPF2/PLS1/BCCIP/FLNC/FITM2/DHX30/NEBL/MZT1/BICD1/PPP2R1A/ANG/PLK1/GSN/HAUS5/TMOD1/BECN1/CHMP4C/CFL2/CNOT7/DYNC1H1/GOLGA2/PDGFRB/MAP9/MAPRE3/LMOD1/CIRBP/EZR/SMC1A/CSRP2/MSN/TNNT3/ACTC1/EML3/G3BP1/CENPC/XRCC5/CHMP6/TRIM37/LDB3/INO80/PIBF1/ASB2/CHEK2/PRRC2C/PATL1/SRC/WDR1/HSF1/EDC3/LZTS2/SMIM22/CEP63/RBM14/ACTN2/MDN1/FLNA/G3BP2/CEP85/FUS/TUBGCP6/CASQ1/ACTA1/MYOZ2/MYBPC1/PRKAA1/LCP1/WRAP73/SQLE/SRF/RHO/TPR/RPS27/PROX1/OBSCN/PPP2R1B/DEUP1/DDX6/DOCK5/AURKB/CNOT6L/PLA2G4C/MYOM1/RRP7A/TPM1/TCAP/SYNPO2L/TTN/EDN1/LMOD3/TUBB1/YTHDF3/PRKD1/NEGR1/PDGFRA/GRB7/MAPT/MAPRE2/ITGB1/MYL2/VIL1/WNK3/TNNT2/LMOD2/MYOM3/CSRP3/BIN2/CDS1/ARHGEF5/KRT8",220
"GO:0051493","regulation of cytoskeleton organization","269/5251","470/13986",0.572340425531915,1.52442452704044,8.96661705681395,1.0957113834617e-18,2.19434466394596e-15,1.6904712116074e-15,"ECT2/STIL/SKA2/CKAP2/ALMS1/BRCA1/HAUS1/LRP1/PLK4/KIF18A/SPAST/SASS6/CHMP5/CEP97/HAUS6/FLII/RHOA/STMN1/PIK3R1/SYNPO2/NME7/ADD1/RHOG/SPTBN1/CEP295/MYADM/SSH1/RNH1/MYCBP2/RAE1/SEMA5A/PRKCD/GAS2L1/MYO3A/SPAG5/DIAPH3/FAM107A/SORBS3/STAU2/VPS4B/INPP5K/TPX2/PAFAH1B1/MDM1/NEDD9/HAUS2/BIN1/LPAR1/WASF2/KANK3/PDGFA/CLASP2/SLC9A1/SKA1/AKAP13/PXN/CSF1R/BORA/ARPC5L/NPM1/S1PR1/RAPGEF3/CEP70/CXCL12/NUMA1/RHOC/GPSM2/CDK5RAP2/RHOQ/ARHGEF19/SMAD3/GBA2/DAAM2/ARHGAP6/SPTAN1/ATXN7/SYDE1/KAT2B/VASP/TMEFF2/CHMP4B/HAUS3/SKA3/CLN3/LATS1/HAUS8/DCTN1/GIT1/CCDC88A/SFRP1/ARHGAP18/PTK2B/NAV3/PARP3/BICD1/F11R/MID1/PLK1/SNCA/GSN/HAUS5/TMOD1/PRKCE/SLAIN2/CLIP1/CD47/TGFB3/ARL2/ITGB3/CHMP4C/BAIAP2L1/CFL2/ARHGAP35/RHPN2/ARPC2/ESAM/DYNC1H1/ROCK1/TGFB1/EML2/VILL/FMN1/CDC42EP2/FCHSD1/DLC1/PDGFRB/MAP9/ADD3/MAPRE3/LMOD1/SYNPO/TMEM67/FES/TWF1/PPM1E/BICD2/TRIM36/EML3/CHMP6/TRIM37/PPM1F/NCKAP1L/PSRC1/ELN/FHOD1/APC/PFN1/MAPK1/CAMSAP1/ASB2/MARK2/FERMT2/TAOK2/WDR1/CLIP3/SMIM22/CLIC4/CAPN6/CD2AP/RBM14/KATNB1/CYLD/TTBK2/PFN2/PTK2/MTSS1/NF2/LIMK1/CDC42EP1/ACTN2/CCDC88C/FLNA/EPHA3/PREX1/CCNF/ATAT1/JAM3/NEXN/SWAP70/ASAP3/LIMA1/CORO2B/BAG4/P2RX7/PRUNE1/CDK10/TAOK1/GMFB/APC2/DMTN/RHOBTB2/OCLN/HCLS1/CCL21/NES/TBCD/PRKAA1/RHOF/MAP1A/ARFIP1/DIXDC1/TPR/CRK/PROX1/CX3CL1/BST2/TACC3/MAP6D1/PHLDB2/AURKB/CDK5R1/CDH5/ADD2/XIRP2/SLIT2/TPM1/TACR1/SVIL/SYNPO2L/PLEK/ARHGEF7/MAP2/KIF21A/RAC2/RDX/NRP1/TPPP/CDC42EP4/EDN1/EFNA5/KANK1/LMOD3/COTL1/ARHGEF2/PRKD1/MYOC/PLEKHH2/CDC42EP5/PDE4DIP/RGCC/KANK2/PDGFRA/APOA1/MAPT/SERPINF2/BAIAP2/MAPRE2/TUBB4A/VIL1/F2RL1/SCIN/STMN3/MET/NGEF/LMOD2/WASF3/TENM1/CORO1A/WASF1/S100A9/MAP1B/EPHA5/SHANK3/ARHGAP44/TRIM54/KANK4/S100A8/ARHGEF5/LIMCH1",269
"GO:0140014","mitotic nuclear division","157/5251","242/13986",0.648760330578512,1.72796838382614,8.85695458100424,3.60630032701837e-18,5.41666309118159e-15,4.17286908892099e-15,"FBXO5/SKA2/CENPF/NUF2/MAD2L1/NCAPG/ZWILCH/KIF14/ZWINT/SMC4/NDC80/CENPI/TTK/RACGAP1/CHEK1/KIF18A/SPC25/NUSAP1/KNTC1/UBE2C/CCNB1/DLGAP5/SPAST/AURKA/CENPK/SMC2/KIF4A/CENPE/KIF15/PRC1/RAD21/KIF23/KIFC1/NEK2/CDK1/KIF18B/CEP192/CHMP5/KIF11/CEP97/BUB3/BUB1/NSL1/SPDL1/KIF2C/CDT1/RHOA/NCAPG2/SMC3/TRIP13/SPICE1/KIF20B/BIRC5/UHRF1/ESPL1/KNL1/CDCA8/MTBP/CDCA2/BUB1B/MYBL2/GEN1/LSM14A/KAT5/FBXO43/PHIP/SPC24/ANAPC11/CDC25C/NFIA/SPAG5/NDE1/VPS4B/NIPBL/TPX2/CDC23/KNSTRN/MIS12/DUSP1/STAG2/NSFL1C/CLASP2/CDCA5/SKA1/MKI67/PRICKLE1/BORA/CDC20/NCAPD3/NUMA1/UBE2S/BROX/TOM1L2/CDK5RAP2/NDEL1/KAT2B/TOM1L1/ZNF207/CHMP4B/STAG1/SKA3/ANLN/BCCIP/IGF1/MZT1/PPP2R1A/RANBP1/PLK1/BECN1/CHMP4C/TGFB1/CTDP1/PPP1R9B/GOLGA2/NCAPH/PDGFRB/CDC14B/MAP9/SMC1A/AURKAIP1/SIRT2/KLHDC8B/EML3/CENPC/CHMP6/INO80/PSRC1/APC/PIBF1/CHEK2/KATNB1/CCDC8/BMP4/FLNA/CEP85/INSR/CD28/UBE2I/WRAP73/PDGFB/CAV2/EREG/TPR/KLHL22/AURKB/EDN3/NCAPH2/MAD1L1/L3MBTL1/PPP2R2D/TTN/EDN1/RGCC/NFIB/PRAP1/DMRT1/RB1",157
"GO:0000070","mitotic sister chromatid segregation","111/5251","162/13986",0.685185185185185,1.82498571700628,8.18856619628492,9.35568384270116e-16,1.12417897053897e-12,8.66040881186463e-13,"FBXO5/SKA2/CENPF/NUF2/MAD2L1/NCAPG/ZWILCH/KIF14/ZWINT/SMC4/NDC80/CENPI/TTK/RACGAP1/KIF18A/SPC25/NUSAP1/KNTC1/UBE2C/CCNB1/DLGAP5/CENPK/SMC2/KIF4A/CENPE/KIF15/PRC1/RAD21/KIF23/KIFC1/NEK2/CDK1/KIF18B/CEP192/CHMP5/KIF11/CEP97/BUB3/BUB1/NSL1/SPDL1/KIF2C/CDT1/RHOA/NCAPG2/SMC3/TRIP13/SPICE1/BIRC5/UHRF1/ESPL1/KNL1/CDCA8/BUB1B/MYBL2/GEN1/LSM14A/KAT5/SPC24/ANAPC11/SPAG5/VPS4B/NIPBL/TPX2/CDC23/KNSTRN/MIS12/DUSP1/STAG2/CLASP2/CDCA5/SKA1/PRICKLE1/CDC20/NCAPD3/NUMA1/CDK5RAP2/KAT2B/ZNF207/CHMP4B/STAG1/SKA3/BCCIP/MZT1/PPP2R1A/PLK1/BECN1/CHMP4C/GOLGA2/NCAPH/MAP9/SMC1A/EML3/CENPC/CHMP6/INO80/PSRC1/APC/PIBF1/CHEK2/KATNB1/FLNA/WRAP73/TPR/KLHL22/AURKB/NCAPH2/MAD1L1/TTN/PRAP1/RB1",111
"GO:0051276","chromosome organization","245/5251","438/13986",0.559360730593607,1.48985320473856,8.07581208331161,1.69451732584811e-15,1.69677668228257e-12,1.30715661083406e-12,"FBXO5/SKA2/CENPF/DSCC1/ITGB3BP/NUF2/DNA2/MAD2L1/NCAPG/ZWILCH/NDC1/CCNE2/KIF14/MIS18A/ZWINT/SMC4/RPA3/NDC80/CENPI/TTK/RACGAP1/SGO2/KIF18A/BRIP1/SPC25/NUSAP1/PCNA/POT1/CENPW/KNTC1/TOP2A/UBE2C/NUP133/CCNB1/TOPBP1/DLGAP5/CENPK/SMC2/EXO1/KIF4A/ACTL6A/CENPE/HMGB3/SMARCA2/KIF15/PRC1/RAD21/KIF23/KIFC1/NEK2/CDK1/MSH2/KIF18B/CEP192/NUP107/CHMP5/KIF11/CEP97/BUB3/BUB1/NSL1/SPDL1/KIF2C/CCT5/CDT1/MND1/PTTG1/CDC6/RHOA/NCAPG2/SMC3/TRIP13/FEN1/CENPN/WRN/HMGB2/SPICE1/PSMC3IP/BIRC5/UHRF1/ESPL1/KNL1/SMC5/RAD51C/CDCA8/RMI2/ESCO2/RIF1/BUB1B/SMARCD3/HJURP/CCT6A/DCLRE1C/MYBL2/GEN1/RECQL4/LSM14A/KAT5/ESCO1/CENPH/TCF7L2/PTTG3P/ARID2/CENPA/ATR/ACTB/RAE1/OIP5/FANCD2/PPP2R5D/PRKDC/SPC24/CCNE1/ANAPC11/SPAG5/NUP155/NASP/VPS4B/NIPBL/TPX2/CDC23/DHX36/BLM/CDK2/KNSTRN/ANAPC4/MIS12/CCT2/RAD51/BCL7B/DUSP1/SGO1/NAA50/STAG2/CLASP2/CDCA5/SKA1/PRICKLE1/INO80B/PDS5A/CDC20/NCAPD3/HAT1/YLPM1/CTNNB1/NUMA1/BRCA2/CDK5RAP2/SUGT1/ERCC1/KAT2B/ZNF207/CHMP4B/STAG1/SMCHD1/SKA3/LATS1/BCCIP/CENPO/HSP90AB1/XRN1/SYCE1L/PPP1R10/MZT1/PARP3/PPP2R1A/INO80D/PLK1/RUVBL1/TFIP11/BECN1/KAT6A/SMC6/CHMP4C/NVL/CENPV/LMNA/PIF1/GOLGA2/NCAPH/MAP9/SYCE2/PHF10/SMC1A/SMG6/EML3/CENPC/XRCC5/CHMP6/TNKS2/INO80/PSRC1/APC/GPER1/MAPK1/PIBF1/DDX11/PML/CHEK2/HMBOX1/SRC/SLF1/MAU2/GCH1/DMC1/TAL1/KATNB1/TOP1/HNRNPA2B1/SUN1/FLNA/ZNF827/SMC1B/PRKCQ/NUP98/C14orf39/PKIB/DPF3/TOP3A/TNKS1BP1/WRAP73/TEX15/TPR/KLHL22/PPP2R1B/KLF4/TACC3/AURKB/NCAPH2/HSPA2/MAD1L1/NPR2/SP100/TTN/SHCBP1L/TP53/SYCE1/MYC/HNRNPC/SYCP2/MAPT/ZNF365/PRAP1/SYCE3/RB1",245
"GO:0007346","regulation of mitotic cell cycle","234/5251","419/13986",0.558472553699284,1.48748755209259,7.85505842040061,9.42781818265025e-15,8.09176166305181e-12,6.23370173670874e-12,"STIL/RRM1/FBXO5/CENPF/NUF2/MAD2L1/ZWILCH/BRCA1/CCNE2/KIF14/ZWINT/RPA3/CDC7/NDC80/DONSON/TTK/CHEK1/GMNN/CDKN2A/SPC25/NUSAP1/E2F7/KNTC1/EZH2/UBE2C/NAE1/CCNB1/TOPBP1/DLGAP5/AURKA/ACTL6A/CENPE/SASS6/SMARCA2/RAD21/NEK2/DTL/CDK1/MSH2/FHL1/RBBP8/CTDSP1/BUB3/BUB1/SPDL1/MASTL/CKS1B/ETAA1/PDIK1L/CDC6/TRIP13/CPSF3/KIF20B/BIRC5/ESPL1/ZFP36L2/KNL1/RRM2/BARD1/RAD51C/CDCA8/MTBP/TIPIN/CDCA2/RCC2/BUB1B/CDKN2C/SMARCD3/BTG3/GEN1/DUSP3/E2F1/ARID2/ATR/ACTB/FBXO43/PHIP/ADAMTS1/CKS2/FANCD2/PRKDC/TICRR/SPC24/SCRIB/CCNE1/ANAPC11/CDC25C/FAM107A/VPS4B/TCF3/CDC23/PAFAH1B1/BLM/CLSPN/GBF1/TMEM14B/CDK2/RBL1/NEK9/BCL6/ANAPC4/MDM2/BCL7B/CCND2/DUSP1/RAD17/FGFR1/CDCA5/STAT5B/SKA1/MKI67/FOXN3/RNASEH2B/BORA/CDC20/FOXA1/BRCC3/ATF2/EIF4G1/CTNNB1/PRKCA/FZD3/ATAD5/BRCA2/TOM1L2/MDC1/CDK5RAP2/TRIM35/ZFP36L1/TOM1L1/ZNF207/SKA3/ORC1/ANLN/MNAT1/ZNF268/IGF1/DBF4B/WEE1/PPP1R10/PLK1/FBXO31/EGFR/DDR2/CHMP4C/TFDP1/TGFB1/PPP1R9B/PTPN11/RBL2/PDGFRB/ASCL1/CDC14B/CTDSPL/KMT2E/PKN2/IQGAP1/PHF10/YWHAE/KLHL18/AURKAIP1/SIRT2/INO80/APC/WAC/CCND3/PML/CHEK2/BCL2/GAS1/CDC25A/KCNA5/TAOK2/PLK3/APPL1/FZR1/HSF1/DGKZ/TAL1/KCNH5/CCDC8/ERCC2/CYLD/SIK1/BMP4/ADAM17/APP/YTHDC2/CDK10/TAOK1/INSR/CD28/FGF10/DPF3/CCND1/USP22/STK33/PDGFB/CAV2/INHBA/EREG/USP47/TPR/KLHL22/ASNS/USP2/KLF4/AFAP1L2/GJC2/AURKB/EDN3/HSPA2/AMBRA1/INIP/MAD1L1/L3MBTL1/RDX/GPNMB/TP53/EDN1/SLFN11/LSM11/RGCC/KANK2/CYP1A1/HES1/PRAP1/PBX1/RPRM/DMRT1/RB1/FOXG1/CDKN2B/BRINP3",234
"GO:0044772","mitotic cell cycle phase transition","209/5251","368/13986",0.567934782608696,1.51269012941634,7.7275707598944,2.6068800148364e-14,1.95776689114213e-11,1.50821729279416e-11,"STIL/RRM1/FBXO5/CENPF/NUF2/MAD2L1/ZWILCH/TAF2/BRCA1/CCNE2/KIF14/ZWINT/SKP2/CDC7/NDC80/DONSON/TTK/CHEK1/CDKN2A/SPC25/CCNA2/E2F7/KNTC1/EZH2/UBE2C/NAE1/CCNB1/TOPBP1/DLGAP5/SPAST/AURKA/MELK/ACTL6A/CENPE/SASS6/SMARCA2/RAD21/DTL/CDK1/FHL1/RBBP8/CTDSP1/BUB3/BUB1/SPDL1/MASTL/CKS1B/ETAA1/PDIK1L/CDC6/TRIP13/CPSF3/BIRC5/ESPL1/ZFP36L2/KNL1/RRM2/BARD1/SMC5/RAD51C/FOXM1/CDCA8/MTBP/CCNB2/IQGAP3/DBF4/RCC2/CDKN3/BUB1B/CDKN2C/SMARCD3/GEN1/E2F1/ARID2/E2F3/ATR/ACTB/ADAMTS1/CKS2/PRKDC/TICRR/SPC24/CCNE1/ANAPC11/CDC25C/NFIA/FAM107A/VPS4B/TCF3/CDC23/BLM/CLSPN/TMEM14B/CDK2/RBL1/ANAPC4/MDM2/BCL7B/CCND2/DUSP1/RAD17/DNM2/CLASP2/CCNJ/CDCA5/SKA1/FOXN3/RNASEH2B/CDC20/USP37/BRCC3/EIF4G1/PPM1D/UBE2S/ATAD5/CDK5RAP2/LATS2/ZFP36L1/ZNF207/CHMP4B/SKA3/ORC1/LATS1/ANLN/MNAT1/DBF4B/WEE1/PLK1/FBXO31/EGFR/GSPT1/DDR2/ENSA/CALM1/CHMP4C/TFDP1/TGFB1/CTDP1/PPP1R9B/RBL2/CDC14B/CTDSPL/KMT2E/PHF10/KLHL18/SIRT2/INO80/APC/WAC/CCND3/ACVR1B/CCNY/CHEK2/BCL2/CDC25A/KCNA5/TAOK2/PLK3/APPL1/FZR1/DGKZ/CCNG2/KCNH5/ERCC2/ADAM17/CCNF/APP/ABCB1/CDK10/TAOK1/FGF10/FBXL15/NES/DPF3/CCND1/USP22/INHBA/USP47/TPR/KLHL22/KLF4/TACC3/GJC2/AURKB/HSPA2/AMBRA1/INIP/MAD1L1/PPP2R2D/CAMK2A/RDX/GPNMB/TP53/TPD52L1/SLFN11/MYC/LSM11/RGCC/KANK2/NFIB/CYP1A1/PRAP1/PBX1/ITGB1/RHOU/RB1/CDKN2B/USH1C/ID4",209
"GO:0045787","positive regulation of cell cycle","174/5251","295/13986",0.589830508474576,1.57100923472204,7.68523840893365,3.91943606743179e-14,2.61644132145891e-11,2.01564448988276e-11,"ECT2/STIL/RRM1/FBXO5/RAD51AP1/MAD2L1/NCAPG/CCNE2/KIF14/SMC4/CDC7/NDC80/RACGAP1/CHEK1/PLK4/NUSAP1/E2F7/EZH2/UBE2C/CCNB1/DLGAP5/SPAST/AURKA/SMC2/SASS6/RAD21/KIF23/DTL/CDK1/BUB1/CDC6/RHOA/NCAPG2/FEN1/CPSF3/KIF20B/BIRC5/ESPL1/KNL1/RRM2/SMC5/RAD51C/CDCA8/MTBP/DBF4/RCC2/SMARCD3/CEP295/GEN1/DUSP3/KAT5/PHIP/ADAMTS1/CCNE1/ANAPC11/CDC25C/SPAG5/WNK1/E2F8/VPS4B/TCF3/CDC23/PAFAH1B1/NUDT16/MDM2/CCND2/FGFR1/RAD23A/NSFL1C/CDCA5/STAT5B/SKA1/CDC20/FOXA1/NCAPD3/NPM1/EIF4G1/FAM83D/PRKCA/NUMA1/GPSM2/ATAD5/BRCA2/C6orf89/MAP3K7/KAT2B/FGFR2/SKA3/CSPP1/IGF1/DBF4B/PPP1R10/RANBP1/BECN1/EGFR/PRKCE/DDR2/SMC6/TFDP1/CENPV/DYNC1H1/TGFB1/PTPN11/NCAPH/PDGFRB/ASCL1/CDC14B/MAPRE3/KMT2E/PKN2/CITED2/KLHL18/SIRT2/BCL2L11/RAD18/INO80/PSRC1/CCND3/CCNY/DDX11/CHEK2/CDC25A/KCNA5/SLF1/HSF1/TAL1/SRPK2/ADAM17/STXBP4/APP/YTHDC2/RARA/LRP6/CDK10/INSR/PKP4/CD28/FGF10/IGF1R/CCND1/USP22/PDGFB/EREG/TPR/ASNS/PROX1/USP2/AURKB/EDN3/NCAPH2/HSPA2/MAD1L1/SVIL/NPR2/PIWIL2/RAB11FIP3/RDX/EDN1/LEF1/MSX2/LSM11/TBX3/RGCC/CYP1A1/HES1/PRAP1/PBX1/DMRT1/SOX15/RB1/NUPR1/FOXG1/CXCR5/MAGEA4",174
"GO:1902903","regulation of supramolecular fiber organization","196/5251","342/13986",0.573099415204678,1.52644609046898,7.64217348429513,5.06751032457802e-14,2.93560704204946e-11,2.26152220966632e-11,"CKAP2/ALMS1/HAUS1/PFDN4/CLU/SPAST/HAUS6/FLII/RHOA/STMN1/PIK3R1/SYNPO2/NME7/VBP1/ADD1/SPTBN1/MYADM/COL6A1/SSH1/RNH1/SEMA5A/PRKCD/GAS2L1/DIAPH3/SORBS3/INPP5K/TPX2/HAUS2/BIN1/LPAR1/WASF2/KANK3/CLASP2/SLC9A1/SKA1/AKAP13/PXN/ARPC5L/S1PR1/RAPGEF3/CXCL12/NUMA1/RHOC/PSEN1/CDK5RAP2/SMAD3/GBA2/DAAM2/ARHGAP6/SPTAN1/ATXN7/VASP/TMEFF2/HAUS3/LATS1/HAUS8/DCTN1/GIT1/EFEMP2/CCDC88A/SFRP1/ARHGAP18/PTK2B/NAV3/F11R/MID1/SNCA/GSN/CRYAB/HAUS5/TMOD1/PRKCE/SLAIN2/CLIP1/CD47/TGFB3/ARL2/BAIAP2L1/CFL2/ARHGAP35/RHPN2/ARPC2/ESAM/ROCK1/EML2/VILL/FMN1/CDC42EP2/FCHSD1/DLC1/ADD3/MAPRE3/LMOD1/SYNPO/FES/TWF1/PPM1E/EMILIN1/HSPG2/PPM1F/NCKAP1L/PSRC1/ELN/FHOD1/APC/PFN1/CAMSAP1/ASB2/FERMT2/WDR1/CLIP3/KATNB1/TTBK2/PFN2/MTSS1/NF2/LIMK1/CDC42EP1/ACTN2/CCDC88C/FLNA/PREX1/APP/SWAP70/ASAP3/LIMA1/CORO2B/BAG4/PRUNE1/TAOK1/GMFB/APC2/DMTN/OCLN/HCLS1/CCL21/TBCD/AEBP1/MAP1A/ARFIP1/PROX1/CX3CL1/MAP6D1/PHLDB2/AURKB/CDK5R1/CDH5/ADD2/XIRP2/SLIT2/TPM1/TACR1/SVIL/SYNPO2L/PLEK/ARHGEF7/MAP2/KIF21A/LDLR/RDX/NRP1/CDC42EP4/EDN1/COLGALT1/KANK1/LMOD3/COTL1/ARHGEF2/PRKD1/MYOC/PLEKHH2/CDC42EP5/PDE4DIP/RGCC/KANK2/APOA1/MAPT/SERPINF2/BAIAP2/TUBB4A/VIL1/F2RL1/SCIN/MET/LMOD2/RB1/WASF3/TENM1/CORO1A/WASF1/MAP1B/SHANK3/TRIM54/KANK4/ARHGEF5/LIMCH1",196
