"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031589","cell-substrate adhesion","153/3248","330/13986",0.463636363636364,1.996434169279,10.0744506421406,8.68487759571607e-21,5.14318451218306e-17,3.46938005007816e-17,"ZYX/FBLN5/ILK/TLN1/RHOA/RRAS/PIK3R1/ITGA7/MYADM/DUSP3/VAMP3/CSF1/PTPRO/PARVB/APOD/FAM107A/SORBS3/ITGA5/ADAM15/NEDD9/LYVE1/LIMS2/BCL6/CLASP2/SLC9A1/MMP14/PXN/CTNNB1/SVEP1/SORBS1/NID1/PLEKHA2/SMAD3/ARHGAP6/DAG1/CD34/NOTCH1/EFEMP2/SFRP1/PTK2B/TRIP6/SNED1/UTRN/PRKCE/ARL2/ITGB3/ITGB4/ARPC2/MICALL2/FMN1/THBS1/PIP5K1A/DLC1/PTPRA/VIT/FBLN1/DOCK1/EMILIN1/ST6GAL1/CCDC80/ATP1B2/PPM1F/ACVRL1/BCR/COL13A1/ADAMTS9/VWF/P4HB/MACF1/BCL2/FERMT2/MKLN1/TAOK2/AXL/ACTN1/SRC/TYRO3/STK4/COL5A3/ITGA8/CD44/MINK1/VCL/MERTK/NF2/HACD1/ACTN2/EGFLAM/UNC13D/CD36/FLNA/EPHA3/CDH11/PREX1/FBLN2/TRPM7/JAM3/EPDR1/CORO2B/THY1/FN1/DMTN/PARVA/ITGA6/PDPN/CCL21/ITGB2/NTN4/OLFM4/JAG1/PDGFB/SPOCK2/SRF/CRK/DAB2/CX3CL1/DOCK5/ITGAM/PHLDB2/JAK2/EDIL3/CASS4/ARHGEF7/PTPRJ/ITGAD/TEK/RAC2/ITGAL/NRP1/ADAM9/ITGA2/EFNA5/KANK1/PARVG/FREM1/FERMT3/MYOC/TIAM1/ADAMTS13/APOA1/TTYH1/COL17A1/ITGB1/ABI3BP/PLG/ITGA9/CORO1A/FZD7/RHOD/CDH13/MYO1G/CD3E/LIMCH1",153
"GO:0003012","muscle system process","178/3248","413/13986",0.430992736077482,1.85586958336812,9.71006728732655,9.62710342972927e-20,2.85058532554284e-16,1.92288723767487e-16,"ANXA6/FXYD1/RHOA/ATP2B4/CFLAR/IL6ST/COL6A1/NR4A3/CALD1/PDE4B/GSTM2/SLMAP/PPP1R12B/SULF2/MYL9/BIN1/EDNRB/ORMDL3/ATP1A2/MAP2K4/GPD1L/MYH11/SLC9A1/PPARA/GRK2/PRKCA/STUB1/PDLIM5/SSPN/SMAD3/MYOT/DAG1/FOXO1/NOTCH1/CAMK2D/REM1/ALDOA/ACACB/IGF1/PI16/NR4A1/CAMK2G/UTRN/TNFRSF1A/GSN/CRYAB/TMOD1/BECN1/CALM1/ADRB2/LMNA/CTDP1/EDNRA/LMOD1/MYL5/KCNJ5/ABCC9/CKMT2/EHD3/GATM/TNNT3/MYOF/SCN4B/STAC2/PTGER3/RCSD1/SORBS2/GPER1/FOXP1/SYNM/DES/ASB2/TBXA2R/CACNB2/SNTA1/KCNA5/HMOX1/CASQ2/CTNNA3/GAMT/ANK2/ADRA1A/CACNB1/GATA4/KLF15/TNFRSF1B/SLC8A1/SMTN/CNN1/FLNA/MYOCD/PRKG1/TRPM4/TPM3/MYLK/SMPX/SGCA/TPM2/RYR1/DOCK4/COL14A1/ATP2A2/DMD/CASQ1/ACTA1/ADRA1B/MYOZ2/SLC6A8/ASPH/LARGE1/CLCN1/SRF/ACTA2/HRC/TRIM63/PTGS2/SGCD/NOS3/DOCK5/SCN1B/EDN3/SNTB1/CHRM2/PIK3C2A/TPM1/KCNJ3/ENO1/TACR1/TCAP/MLIP/CACNA1C/TPM4/SCN2B/PPARG/TTN/MYL3/PGAM2/SLN/ITGA2/APBB1/KCNIP2/TNNC1/PLN/ADRA2A/MYL4/EDN1/LMOD3/TNNC2/TNNI2/PDE4D/MYOC/MEIS1/TIAM1/TBX3/CHRM3/TMEM38A/TNNI1/HTR2A/P2RX1/MYL2/MYL1/TNNT2/ATP2A1/FBXO32/LMOD2/MYH8/AGT/MYH7/CSRP3/MYH1/IGFBP5/MYH2/PIK3CG/BDKRB2/KCND3/ACE2/KCNE3/TRDN",178
"GO:0007015","actin filament organization","171/3248","418/13986",0.409090909090909,1.76155956112853,8.69384001861439,2.44462757664005e-16,4.8116225116281e-13,3.24572200565752e-13,"ZYX/PLEC/FLII/RHOA/PIK3R1/SYNPO2/RHOB/ARPC4/ADD1/RHOG/SPTBN1/MYADM/CALD1/CAPZB/SSH1/RNH1/SEMA5A/PRKCD/GAS2L1/FAM107A/SORBS3/INPP5K/NEDD9/MYL9/BIN1/LPAR1/WASF2/KANK3/DNM2/CLASP2/SLC9A1/PXN/S1PR1/RAPGEF3/CXCL12/RHOC/SORBS1/WASL/RHOQ/DIAPH2/SMAD3/GBA2/DAAM2/ARHGAP6/ARRB1/SPTAN1/VASP/WIPF3/ALDOA/ACTR2/ELMO2/SFRP1/ARHGAP18/PTK2B/ANG/SH3KBP1/GSN/TMOD1/PRKCE/TGFB3/CFL2/ARHGAP35/ARPC2/ESAM/MICALL2/VILL/FMN1/CDC42EP2/PPP1R9B/FCHSD1/ZEB2/DLC1/PPARGC1B/ADD3/LMOD1/SYNPO/IQGAP1/EZR/MYO1C/RHOJ/CFL1/ACTC1/PPM1F/NCKAP1L/ELN/FHOD1/ELMO1/PFN1/BLOC1S6/ASB2/BCL2/FERMT2/WIPF1/ACTN1/SRC/WDR1/MICAL2/LUZP1/MTSS1/NF2/LIMK1/CDC42EP1/CNN1/ACTN2/HIP1/INF2/FLNA/PREX1/CAP2/SWAP70/ASAP3/TPM3/LIMA1/TPM2/CORO2B/BAG4/DMTN/RHOBTB2/ACTA1/HCLS1/CCL21/LCP1/RHOF/ARFIP1/SRF/BCAR1/CX3CL1/PHLDB2/JAK2/XIRP2/SLIT2/TPM1/TACR1/TCAP/SVIL/SYNPO2L/PLEK/TPM4/MYO5A/RAC2/TTN/RDX/NRP1/CDC42EP4/KANK1/LMOD3/ARHGEF2/MYOC/CDC42EP5/TF/TAGLN2/RGCC/KANK2/AIF1L/SAMD14/APOA1/SERPINF2/BAIAP2/MYO1F/F2RL1/ERMN/LMOD2/RHOU/WASF3/TENM1/CORO1A/SHANK3/RHOD/KANK4/MYO1G/LIMCH1",171
"GO:0042692","muscle cell differentiation","153/3248","362/13986",0.422651933701657,1.81995380072395,8.69298433279993,3.24999831923546e-16,4.8116225116281e-13,3.24572200565752e-13,"PLEC/NOTCH2/FLII/MEF2C/CFLAR/SYNE1/SUPT6H/SMARCD3/COL6A1/EHD2/LAMB2/ENG/EHD1/MYL9/PGM5/QKI/BIN1/EDNRB/MAP2K4/MYH11/SLC9A1/PPARA/MMP14/CSRP1/AKAP13/PRICKLE1/RAMP2/CAPN3/CTNNB1/PDLIM5/NID1/TMEM204/CAMK1/FGFR2/NOTCH1/SKI/BHLHE41/LAMA2/EFEMP2/FLNC/IGF1/PI16/ZEB1/PLPP7/TMOD1/MYH9/CFL2/CD81/BMPR2/PLD3/PIEZO1/LMNA/TGFB1/CDK9/CTDP1/PDGFRB/NAGLU/EDNRA/LMOD1/PPP3CB/DOCK1/CNTNAP1/TNNT3/ACTC1/LDB3/SPAG9/APLNR/TMEM119/SORBS2/GPER1/FOXP1/RCAN1/DYRK1B/FLOT1/ASB2/BCL2/ACTN1/WDR1/ANK2/RARB/ITGA8/ADRA1A/SORT1/AKIRIN2/RORA/GATA4/SLC8A1/POPDC2/NEO1/SIK1/KDM6B/BMP4/ACTN2/IL4R/MYOCD/PRKG1/NINJ1/RBPMS2/PTBP1/RYR1/SPG11/RARA/COL14A1/ATP2A2/DMD/CASQ1/ACTA1/MYOZ2/FGF10/MYBPC1/PDGFB/CAV2/EREG/ARRB2/LARGE1/SRF/PTCD2/RBM24/OBSCN/TBX5/SGCD/TBX18/DOCK5/FRS2/PPIF/MYOM1/TPM1/TCAP/SYNPO2L/TTN/MAPK14/EDN1/LMOD3/ADAMTS5/CD53/ADAMTS15/MEIS1/TBX3/PDGFRA/ITGB1/MYL2/TNNT2/FBXO40/SGCB/AVPR1A/LMOD2/RB1/MYOM3/CSRP3/IGFBP5/FZD7/FHL2/DOCK2",153
"GO:0042060","wound healing","168/3248","411/13986",0.408759124087591,1.76013088346338,8.60234617731503,4.93817454071464e-16,5.59441993240726e-13,3.77376484535551e-13,"PLEC/NOTCH2/ILK/TLN1/RHOA/CFLAR/IL6ST/ACTB/ENG/SMPD1/PRKCD/BLOC1S3/ITGA5/GNAQ/MYL9/AHNAK/RASA3/IL6R/PDGFA/CLASP2/PPARA/CSRP1/SVEP1/PLPP3/PRKCA/AQP1/RHOC/C6orf89/ANGPTL1/DST/SMAD3/DGKA/C1QTNF1/DAG1/CD34/CHMP4B/B4GALT1/ANGPTL2/IGF1/PEAR1/GNAS/ARL8B/PRKCE/DDR2/WFDC1/ITGB3/MYH9/TLR4/ARHGAP35/HBEGF/TGFB1/THBS1/FBLN1/EMILIN1/FGF2/MIA3/FOXC2/ITPK1/FGFR1OP2/MYOF/CHMP6/ACVRL1/JMJD1C/PAFAH2/AP3B1/VWF/BLOC1S6/TBXA2R/MACF1/F10/FERMT2/ANGPTL4/AXL/HMOX1/SRC/TYRO3/PAPSS2/FKBP10/CD59/CD44/GATA4/GNA13/SH2B3/YAP1/CD151/ERBB2/DGKZ/DGKQ/SLC11A1/VCL/MERTK/VAV3/CD36/FLNA/ADAM17/PRKG1/GATA2/PRKCQ/FGF1/ENTPD1/MYLK/ANO6/CEACAM1/FN1/DMTN/ELK3/FGF10/P2RY12/LRG1/PDPN/LYN/F13A1/PRRG1/THBD/PDGFB/EREG/SRF/CRK/CX3CL1/NOS3/DCBLD2/PHLDB2/ADTRP/SERPINA1/TNFAIP3/JAK2/MCAM/TPM1/CD40/NPR2/PLEK/NOG/PTPRJ/SERPING1/ARHGAP24/PPARG/MAPK14/ITGA2/PLA2G4A/ADRA2A/EDN1/KANK1/HBB/TUBB1/MSX2/NFE2L2/FERMT3/TIMP1/ADAMTS13/PDGFRA/SERPINF2/MMRN1/F5/FCER1G/HTR2A/ITGB1/P2RX1/HSPB1/INSL3/PLAT/F2RL1/PLG/TFPI2/KRT1/PIK3CG/FZD7/EPB41L4B/JAML",168
"GO:1902903","regulation of supramolecular fiber organization","146/3248","342/13986",0.426900584795322,1.83824863883848,8.63162571875341,5.66810530132448e-16,5.59441993240726e-13,3.77376484535551e-13,"CLU/FLII/RHOA/PIK3R1/SYNPO2/ADD1/SPTBN1/MYADM/COL6A1/SSH1/RNH1/SEMA5A/PRKCD/GAS2L1/SORBS3/INPP5K/BIN1/LPAR1/WASF2/KANK3/CLASP2/SLC9A1/AKAP13/PXN/S1PR1/RAPGEF3/CXCL12/NUMA1/RHOC/PSEN1/SMAD3/GBA2/DAAM2/ARHGAP6/SPTAN1/ATXN7/VASP/DCTN1/GIT1/EFEMP2/SFRP1/ARHGAP18/PTK2B/NAV3/SNCA/GSN/CRYAB/TMOD1/PRKCE/SLAIN2/CLIP1/TGFB3/ARL2/CFL2/ARHGAP35/ARPC2/ESAM/EML2/VILL/FMN1/CDC42EP2/FCHSD1/DLC1/ADD3/MAPRE3/LMOD1/SYNPO/FES/EMILIN1/HSPG2/PPM1F/NCKAP1L/ELN/FHOD1/APC/PFN1/ASB2/FERMT2/WDR1/CLIP3/KATNB1/TTBK2/MTSS1/NF2/LIMK1/CDC42EP1/ACTN2/FLNA/PREX1/APP/SWAP70/ASAP3/LIMA1/CORO2B/BAG4/PRUNE1/TAOK1/APC2/DMTN/HCLS1/CCL21/AEBP1/MAP1A/ARFIP1/CX3CL1/MAP6D1/PHLDB2/CDH5/XIRP2/SLIT2/TPM1/TACR1/SVIL/SYNPO2L/PLEK/ARHGEF7/LDLR/RDX/NRP1/CDC42EP4/EDN1/COLGALT1/KANK1/LMOD3/ARHGEF2/MYOC/CDC42EP5/PDE4DIP/RGCC/KANK2/APOA1/MAPT/SERPINF2/BAIAP2/TUBB4A/F2RL1/LMOD2/RB1/WASF3/TENM1/CORO1A/MAP1B/SHANK3/TRIM54/KANK4/LIMCH1",146
"GO:0032970","regulation of actin filament-based process","148/3248","350/13986",0.422857142857143,1.82083743842365,8.5531330556981,9.54775496291707e-16,7.06010189251794e-13,4.76245341760529e-13,"LRP1/FLII/RHOA/PIK3R1/SYNPO2/ADD1/RHOG/SPTBN1/MYADM/SSH1/RNH1/SEMA5A/PRKCD/PDE4B/FAM107A/SORBS3/INPP5K/NEDD9/BIN1/LPAR1/WASF2/KANK3/ATP1A2/PDGFA/CLASP2/SLC9A1/AKAP13/PXN/CSF1R/S1PR1/RAPGEF3/CXCL12/RHOC/RHOQ/SMAD3/GBA2/DAAM2/ARHGAP6/SPTAN1/VASP/CAMK2D/SFRP1/ARHGAP18/PTK2B/GSN/TMOD1/PRKCE/TGFB3/ITGB3/MYH9/CFL2/ARHGAP35/ARPC2/ESAM/TGFB1/VILL/FMN1/CDC42EP2/FCHSD1/ZEB2/DLC1/PDGFRB/ADD3/LMOD1/SYNPO/PPM1F/NCKAP1L/ELN/FHOD1/PFN1/ASB2/FERMT2/TAOK2/CTNNA3/WDR1/ANK2/GATA4/MTSS1/NF2/LIMK1/CDC42EP1/ACTN2/FLNA/EPHA3/PREX1/JAM3/TRPM4/SWAP70/ASAP3/LIMA1/CORO2B/BAG4/CDK10/ATP2A2/TAOK1/DMTN/RHOBTB2/PDPN/HCLS1/CCL21/RHOF/ARFIP1/DIXDC1/ACTA2/CRK/CX3CL1/BST2/PHLDB2/XIRP2/SLIT2/TPM1/TACR1/SVIL/SYNPO2L/CACNA1C/PLEK/RAC2/RDX/NRP1/TNNC1/PLN/CDC42EP4/EDN1/EFNA5/KANK1/LMOD3/PDE4D/MYOC/CDC42EP5/RGCC/KANK2/PDGFRA/APOA1/SERPINF2/BAIAP2/ATP2A1/F2RL1/NGEF/LMOD2/WASF3/TENM1/CORO1A/CSRP3/EPHA5/SHANK3/ARHGAP44/KANK4/LIMCH1",148
"GO:0048660","regulation of smooth muscle cell proliferation","74/3248","134/13986",0.552238805970149,2.37795934122491,8.81475217721519,1.02441693373048e-15,7.06010189251794e-13,4.76245341760529e-13,"NDRG2/PIK3R1/MEF2C/NR4A3/TCF7L2/ADAMTS1/APOD/IL6R/GNAI2/S1PR1/CTNNB1/MFN2/FGFR2/LDLRAP1/EFEMP2/IGF1/ANG/MEF2D/MAP3K5/DDR2/TGFB3/ITGB3/TLR4/BMPR2/HBEGF/TGFB1/THBS1/NPR1/PDGFRB/OGN/FGF2/PDE1A/ELN/VIPR2/GPER1/FOXP1/HMOX1/SRC/GNA13/PPARGC1A/NOTCH3/JUN/BMP4/CNN1/MYOCD/PRKG1/ADIPOQ/RBPMS2/PTGIR/IGF1R/PDGFB/EREG/EGFR/HPGD/CX3CL1/PTGS2/NOS3/MMP2/FRS2/TNFAIP3/JAK2/TPM1/TACR1/PDGFD/ELANE/PPARG/ITGA2/CALCRL/EDN1/SERPINF2/TRIB1/IGFBP5/ACE2/CDH13",74
"GO:0150115","cell-substrate junction organization","59/3248","96/13986",0.614583333333333,2.64641702586207,8.90229308131867,1.07296381345257e-15,7.06010189251794e-13,4.76245341760529e-13,"PLEC/TLN1/RHOA/PIK3R1/IQSEC1/DUSP3/APOD/FAM107A/ITGA5/TNS1/CLASP2/SLC9A1/MMP14/PRICKLE1/SORBS1/DST/SMAD3/ARHGAP6/SFRP1/PTK2B/TRIP6/ITGB3/ITGB4/RAB8B/FMN1/THBS1/PIP5K1A/DLC1/PTPRA/PPM1F/ACVRL1/BCR/MACF1/BCL2/FERMT2/TAOK2/ACTN1/SRC/VCL/ACTN2/EPHA3/CDH11/CORO2B/THY1/FN1/DMTN/ITGA6/PHLDB2/ARHGEF7/PTPRJ/TEK/NRP1/ITGA2/EFNA5/MYOC/MAPRE2/COL17A1/RHOD/LIMCH1",59
"GO:0048659","smooth muscle cell proliferation","74/3248","136/13986",0.544117647058823,2.34298935091278,8.65555025549419,2.98574900457905e-15,1.63837006653751e-12,1.10517684326239e-12,"NDRG2/PIK3R1/MEF2C/NR4A3/TCF7L2/ADAMTS1/APOD/IL6R/GNAI2/S1PR1/CTNNB1/MFN2/FGFR2/LDLRAP1/EFEMP2/IGF1/ANG/MEF2D/MAP3K5/DDR2/TGFB3/ITGB3/TLR4/BMPR2/HBEGF/TGFB1/THBS1/NPR1/PDGFRB/OGN/FGF2/PDE1A/ELN/VIPR2/GPER1/FOXP1/HMOX1/SRC/GNA13/PPARGC1A/NOTCH3/JUN/BMP4/CNN1/MYOCD/PRKG1/ADIPOQ/RBPMS2/PTGIR/IGF1R/PDGFB/EREG/EGFR/HPGD/CX3CL1/PTGS2/NOS3/MMP2/FRS2/TNFAIP3/JAK2/TPM1/TACR1/PDGFD/ELANE/PPARG/ITGA2/CALCRL/EDN1/SERPINF2/TRIB1/IGFBP5/ACE2/CDH13",74
