"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005819","spindle","219/5463","363/14708",0.603305785123967,1.62427631111172,9.25772083106446,1.0768037748429e-19,7.44071408416445e-17,5.67872306522415e-17,"ECT2/FBXO5/SKA2/CENPF/CKAP2/MAD2L1/ALMS1/ZWILCH/KIF14/HAUS1/PIN4/CBX3/CDC7/TTK/RACGAP1/KIF18A/NUSAP1/KNTC1/ASPM/CCNB1/TOPBP1/DLGAP5/SPAST/AURKA/KIF4A/CENPE/KIF15/HMMR/PRC1/RAD21/KIF23/KIFC1/NEK2/MAP4/CDK1/KIF18B/CHMP5/KIF11/IQCB1/NSL1/SPDL1/HAUS6/KIF2C/NEDD1/DYNLT1/CDC6/CBX1/SMC3/SPICE1/KIF20B/CKAP2L/BIRC5/FAM161A/UHRF1/ESPL1/ANXA11/NCOR1/CDCA8/NME7/RCC2/RIF1/TUBGCP5/BUB1B/CEP295/LSM14A/KAT5/ZZZ3/HEPACAM2/SHCBP1/DSN1/RAE1/CEP95/TADA3/SPAG5/WNK1/KIF20A/NDE1/DIAPH3/DCUN1D5/VPS4B/CCDC69/TPX2/MTUS1/PAFAH1B1/NEDD9/HAUS2/RGS14/RASSF1/ARL2BP/KNSTRN/MIS12/EFHC1/SGO1/NUP85/STAG2/POLB/CEP104/CLASP2/SKA1/SNCG/TUBGCP2/TUBB2B/BORA/CDC20/BRCC3/AUNIP/NPM1/CTNNB1/FAM83D/CEP44/NUMA1/GPSM2/NUDCD2/NGRN/CEP128/YEATS2/CDK5RAP2/TAF1D/LATS2/SAC3D1/NSUN2/NDEL1/KAT2B/MBIP/ZNF207/CHMP4B/STAG1/HAUS3/SKA3/LATS1/HAUS8/CEP350/DCTN1/GIT1/BCCIP/CSPP1/MZT1/CSNK1A1/MID1/PLK1/CEP89/HAUS5/ARL8B/NR3C1/FBF1/SMC6/KLHL21/CALM1/MYH9/CHMP4C/TBL1X/CENPV/EML2/CTDP1/GOLGA2/CDC14B/MAP9/MAPRE3/CEP162/SMC1A/SIRT2/CCAR2/EML3/CHMP6/INO80/PSRC1/TFDP2/MAP7D1/MAPK1/FRY/DDX11/PLK3/HSF1/RMDN2/LUZP1/CAPN6/ANKFN1/CEP63/KATNB1/ERCC2/CYLD/FMN2/ATAT1/APP/MAP2K5/CEP85/LIMK2/RANGAP1/TUBGCP6/PKP4/PTP4A1/TPR/KLHL22/TACC3/AURKB/TADA2A/HSPA2/MAD1L1/PPP2CB/ARHGEF7/PTPN7/DCDC2/MAPK14/SHCBP1L/TPPP/TUBB1/MTCL1/NEIL2/ARHGEF2/TUBB6/MAK/MAPRE2/TUBB4A/HSPB1/CXCR2/RB1/STX1B/EPB41/CRMP1",219
"GO:0098687","chromosomal region","196/5463","320/14708",0.6125,1.64902983708585,9.0232632076136,8.88318909335655e-19,2.80963008549733e-16,2.1442983819547e-16,"SKA2/CENPF/DSCC1/ITGB3BP/RAD51AP1/NUF2/DNA2/CENPL/MAD2L1/NCAPG/HELLS/ZWILCH/MIS18A/ZWINT/SMC4/CBX3/NDC80/CENPI/TTK/CENPQ/CHEK1/SGO2/MCM6/KIF18A/SPC25/PCNA/POT1/CENPW/KNTC1/EZH2/TOP2A/CENPU/HDAC2/NUP133/CCNB1/SUV39H2/AURKA/CENPK/MCM4/MCM2/ACTL6A/ORC4/CENPE/RAD21/NEK2/TOX4/THOC1/CDK1/MSH2/POLR2B/NUP107/PHF6/CHMP5/BUB3/BUB1/NSL1/SPDL1/KIF2C/CDT1/CBX1/SMC3/FEN1/CENPN/WRN/BIRC5/KNL1/SMC5/XPO1/CDCA8/MTBP/RCC2/ESCO2/RIF1/BUB1B/HJURP/ERCC6L/RECQL4/KAT5/CENPH/NUP43/ARID2/CENPA/ATR/ACTB/NUP160/DSN1/OIP5/CENPM/SEC13/PRKDC/NUP37/SPC24/ORC3/SPAG5/CBX5/NDE1/ATF7/DHX36/PAFAH1B1/BLM/CDK2/KNSTRN/MIS12/RAD51/SGO1/NUP85/RAD17/DNMT1/STAG2/FBXO28/CLASP2/CDCA5/SKA1/PDS5A/CDC20/NCAPD3/HAT1/DNMT3A/THOC2/UHRF2/MCM7/NUDCD2/SS18L1/PSEN1/BRCA2/SUGT1/ERCC1/NDEL1/KAT2B/ZNF207/FMR1/CHMP4B/AHCTF1/STAG1/SMCHD1/SKA3/ORC1/DCTN1/CENPO/SSB/RBBP4/PPP1R10/CSNK1A1/PPP2R1A/PLK1/SUN2/TFIP11/CLIP1/SMC6/CHMP4C/MCM3/PSEN2/CENPV/PIF1/PHF10/SMC1A/SMG6/SIRT2/CENPC/XRCC5/CHMP6/IKZF1/TNKS2/APC/MIS18BP1/SYCP2L/PML/KDM4C/CHEK2/HMBOX1/DYNC1LI2/PLK3/SLF1/ZBTB10/HSF1/FLYWCH1/DMC1/LUZP1/WRNIP1/RASSF2/HNRNPA2B1/SUN1/BAZ1A/ZNF827/SMC1B/RANGAP1/ZNF276/NUP98/FBXW11/TPR/AURKB/MAD1L1/PPP2CB/SP100/MTCL1/SYCP2",196
"GO:0000775","chromosome, centromeric region","139/5463","207/14708",0.671497584541063,1.80786865704374,8.9981068144454,1.21981045680058e-18,2.80963008549733e-16,2.1442983819547e-16,"SKA2/CENPF/DSCC1/ITGB3BP/NUF2/CENPL/MAD2L1/NCAPG/HELLS/ZWILCH/MIS18A/ZWINT/SMC4/CBX3/NDC80/CENPI/TTK/CENPQ/SGO2/KIF18A/SPC25/CENPW/KNTC1/EZH2/TOP2A/CENPU/NUP133/CCNB1/SUV39H2/AURKA/CENPK/ACTL6A/CENPE/RAD21/NEK2/NUP107/PHF6/CHMP5/BUB3/BUB1/NSL1/SPDL1/KIF2C/CDT1/CBX1/SMC3/CENPN/BIRC5/KNL1/SMC5/XPO1/CDCA8/MTBP/RCC2/ESCO2/BUB1B/HJURP/ERCC6L/KAT5/CENPH/NUP43/ARID2/CENPA/ACTB/NUP160/DSN1/OIP5/CENPM/SEC13/NUP37/SPC24/SPAG5/CBX5/NDE1/PAFAH1B1/KNSTRN/MIS12/SGO1/NUP85/DNMT1/STAG2/FBXO28/CLASP2/CDCA5/SKA1/PDS5A/CDC20/NCAPD3/DNMT3A/UHRF2/NUDCD2/SS18L1/PSEN1/SUGT1/NDEL1/KAT2B/ZNF207/FMR1/CHMP4B/AHCTF1/STAG1/SKA3/DCTN1/CENPO/CSNK1A1/PPP2R1A/PLK1/CLIP1/SMC6/CHMP4C/PSEN2/CENPV/PHF10/SMC1A/CENPC/CHMP6/IKZF1/APC/MIS18BP1/SYCP2L/KDM4C/DYNC1LI2/PLK3/HSF1/FLYWCH1/LUZP1/RASSF2/BAZ1A/SMC1B/RANGAP1/ZNF276/NUP98/FBXW11/TPR/AURKB/MAD1L1/PPP2CB/MTCL1/SYCP2",139
"GO:0030055","cell-substrate junction","222/5463","390/14708",0.569230769230769,1.53253636350836,8.19340799870017,7.66386823270345e-16,1.32393323719952e-13,1.01042052225906e-13,"LRP1/ZYX/ANXA6/PLEC/KIF23/FHL1/ILK/TLN1/FLII/RHOA/RRAS/EPB41L2/PDLIM7/SYNPO2/RHOB/ARHGAP31/ADD1/RHOG/CAT/TADA1/ACTB/ARHGAP26/ENG/YWHAQ/PARVB/PRKAR2A/CHP1/FAM107A/SORBS3/ITGA5/TNS1/NEDD9/AHNAK/PGM5/PDCD6IP/LIMS2/JAK1/MPRIP/DNM2/CLASP2/SLC9A1/CD99/MMP14/CSRP1/PXN/TNS2/SENP1/ARPC5L/NPM1/CTNNB1/APBB1IP/SORBS1/ADGRE5/FLOT2/MDC1/DST/CTNNA1/DAG1/VASP/STARD8/TSPAN4/BSG/CD99L2/GIT1/GIT2/FLNC/ACTR2/PTK2B/YES1/NECTIN2/TRIP6/SH3KBP1/GSN/UBOX5/EGFR/DDR2/MRC2/ARL2/ITGB3/MYH9/AKAP12/EPB41L5/ITGB4/CD81/ARPC2/ZFYVE21/VIM/TGM2/PIP5K1A/ENAH/DLC1/PTPRA/PDGFRB/MAP2K2/PPFIBP1/FES/TWF1/IQGAP1/EZR/PCBP2/CSRP2/MSN/SNAP23/YWHAE/EHD3/SHC1/CFL1/HACD3/PIP5K1C/ACTC1/IGF2R/G3BP1/SCARF2/PACSIN2/HSPG2/PPIB/TLN2/SORBS2/PALLD/PFN1/MAPK1/ATP6V0A2/P4HB/FLOT1/CAPN5/BLOC1S6/ICAM1/FERMT2/LPP/ACTN1/RPL7/SRC/RPL37A/ITGA8/CD59/CD44/GNA13/CD151/SNTB2/MARCKS/IL1RL1/PTK2/VCL/LIMK1/CDC42EP1/CNN1/EPPK1/ACTN2/FLNA/ADAM17/ATAT1/HMGA1/GDI2/NEXN/TGFB1I1/ASAP3/LIMA1/SMPX/CORO2B/THY1/EPHA2/PRUNE1/DMD/DPP4/PARVA/ITGA6/NHS/ITGB2/CDH2/LCP1/CAV2/DIXDC1/FLNB/CSPG4/DAB2/BCAR1/FGFR3/PHLDB2/JAK2/PVR/XIRP2/SNTB1/ALOX15B/AMBRA1/MCAM/IL16/CASS4/SVIL/CBL/TPM4/ARHGEF7/TEK/RAC2/TNC/ARHGAP24/RDX/NRP1/ADAM9/ITGA2/B2M/PARVG/PTPRC/FERMT3/ARHGEF2/FLT1/PTPN12/AIF1L/GRB7/MAPRE2/CNN3/ALCAM/ITGB8/COL17A1/ITGB1/FAP/HSPB1/FBLIM1/RHOU/WASF1/CDH13/NOX4/FHL2",222
"GO:0005925","focal adhesion","217/5463","380/14708",0.571052631578947,1.53744135186951,8.15932588958387,1.014453640862e-15,1.40197493167128e-13,1.06998162962497e-13,"LRP1/ZYX/ANXA6/PLEC/KIF23/FHL1/ILK/TLN1/FLII/RHOA/RRAS/EPB41L2/PDLIM7/SYNPO2/RHOB/ARHGAP31/ADD1/RHOG/CAT/TADA1/ACTB/ARHGAP26/ENG/YWHAQ/PARVB/PRKAR2A/CHP1/FAM107A/SORBS3/ITGA5/TNS1/NEDD9/AHNAK/PGM5/PDCD6IP/LIMS2/JAK1/MPRIP/DNM2/CLASP2/SLC9A1/CD99/MMP14/CSRP1/PXN/TNS2/SENP1/ARPC5L/NPM1/CTNNB1/APBB1IP/SORBS1/ADGRE5/FLOT2/MDC1/DST/CTNNA1/DAG1/VASP/STARD8/TSPAN4/BSG/CD99L2/GIT1/GIT2/FLNC/ACTR2/PTK2B/YES1/NECTIN2/TRIP6/SH3KBP1/GSN/UBOX5/EGFR/DDR2/MRC2/ARL2/ITGB3/MYH9/AKAP12/EPB41L5/ITGB4/CD81/ARPC2/ZFYVE21/VIM/TGM2/PIP5K1A/ENAH/DLC1/PTPRA/PDGFRB/MAP2K2/PPFIBP1/FES/TWF1/IQGAP1/EZR/PCBP2/CSRP2/MSN/SNAP23/YWHAE/EHD3/SHC1/CFL1/HACD3/PIP5K1C/ACTC1/IGF2R/G3BP1/SCARF2/PACSIN2/HSPG2/PPIB/TLN2/SORBS2/PALLD/PFN1/MAPK1/ATP6V0A2/P4HB/FLOT1/CAPN5/BLOC1S6/ICAM1/FERMT2/LPP/ACTN1/RPL7/SRC/RPL37A/ITGA8/CD59/CD44/GNA13/CD151/SNTB2/MARCKS/IL1RL1/PTK2/VCL/LIMK1/CDC42EP1/CNN1/ACTN2/FLNA/ADAM17/ATAT1/HMGA1/GDI2/NEXN/TGFB1I1/ASAP3/LIMA1/CORO2B/THY1/EPHA2/PRUNE1/DPP4/PARVA/ITGA6/NHS/ITGB2/CDH2/LCP1/CAV2/DIXDC1/FLNB/CSPG4/DAB2/BCAR1/FGFR3/PHLDB2/JAK2/PVR/XIRP2/SNTB1/ALOX15B/AMBRA1/MCAM/IL16/CASS4/SVIL/CBL/TPM4/ARHGEF7/TEK/RAC2/TNC/ARHGAP24/RDX/NRP1/ADAM9/ITGA2/B2M/PARVG/PTPRC/ARHGEF2/FLT1/PTPN12/AIF1L/GRB7/MAPRE2/CNN3/ALCAM/ITGB8/ITGB1/FAP/HSPB1/FBLIM1/RHOU/WASF1/CDH13/NOX4/FHL2",217
"GO:0000779","condensed chromosome, centromeric region","106/5463","155/14708",0.683870967741935,1.84118143758894,8.09288657533632,2.2352391325731e-15,2.57425040101336e-13,1.96465755336688e-13,"SKA2/CENPF/ITGB3BP/NUF2/CENPL/MAD2L1/NCAPG/ZWILCH/ZWINT/CBX3/NDC80/CENPI/TTK/CENPQ/SGO2/KIF18A/SPC25/CENPW/KNTC1/CENPU/NUP133/CCNB1/AURKA/CENPK/ACTL6A/CENPE/NEK2/NUP107/PHF6/CHMP5/BUB3/BUB1/NSL1/SPDL1/KIF2C/CDT1/CENPN/BIRC5/KNL1/XPO1/MTBP/BUB1B/HJURP/ERCC6L/KAT5/CENPH/NUP43/ARID2/CENPA/ACTB/NUP160/DSN1/CENPM/SEC13/NUP37/SPC24/SPAG5/CBX5/NDE1/PAFAH1B1/KNSTRN/MIS12/SGO1/NUP85/FBXO28/CLASP2/SKA1/CDC20/NCAPD3/NUDCD2/SS18L1/PSEN1/SUGT1/NDEL1/KAT2B/ZNF207/CHMP4B/AHCTF1/SKA3/DCTN1/CENPO/CSNK1A1/PLK1/CLIP1/CHMP4C/PSEN2/CENPV/PHF10/SMC1A/CENPC/CHMP6/APC/SYCP2L/DYNC1LI2/PLK3/HSF1/RASSF2/RANGAP1/ZNF276/NUP98/FBXW11/TPR/AURKB/MAD1L1/MTCL1/SYCP2",106
"GO:0000776","kinetochore","100/5463","144/14708",0.694444444444444,1.86964834136718,8.0613684743509,2.85243080394589e-15,2.81575669360945e-13,2.14897418462691e-13,"SKA2/CENPF/ITGB3BP/NUF2/CENPL/MAD2L1/ZWILCH/ZWINT/NDC80/CENPI/TTK/CENPQ/SGO2/KIF18A/SPC25/CENPW/KNTC1/CENPU/NUP133/CCNB1/AURKA/CENPK/ACTL6A/CENPE/NEK2/NUP107/PHF6/CHMP5/BUB3/BUB1/NSL1/SPDL1/KIF2C/CDT1/CENPN/BIRC5/KNL1/XPO1/MTBP/BUB1B/HJURP/ERCC6L/KAT5/CENPH/NUP43/ARID2/ACTB/NUP160/DSN1/CENPM/SEC13/NUP37/SPC24/SPAG5/CBX5/NDE1/PAFAH1B1/KNSTRN/MIS12/SGO1/NUP85/FBXO28/CLASP2/SKA1/CDC20/NUDCD2/SS18L1/PSEN1/SUGT1/NDEL1/KAT2B/ZNF207/CHMP4B/AHCTF1/SKA3/DCTN1/CENPO/CSNK1A1/PLK1/CLIP1/CHMP4C/PSEN2/CENPV/PHF10/SMC1A/CENPC/CHMP6/APC/DYNC1LI2/PLK3/HSF1/RASSF2/RANGAP1/ZNF276/NUP98/FBXW11/TPR/AURKB/MAD1L1/MTCL1",100
"GO:0015629","actin cytoskeleton","259/5463","475/14708",0.545263157894737,1.46800851662379,7.97033407434384,3.91310952487231e-15,3.37994835210846e-13,2.57956298942241e-13,"NDC1/CENPQ/KNTC1/ZYX/TOPBP1/PLEC/GAS2L3/FLII/EPB41L2/PDLIM7/SYNPO2/SYNE1/ARPC4/ADD1/SPTBN1/ABLIM3/MYADM/CALD1/CAPZB/ACTB/GABARAP/VPS18/PDLIM2/MYO19/GAS2L1/MYO3A/PARVB/IPP/ACTR1A/DIAPH3/FAM107A/PKNOX2/PPP1R12B/MYL9/AHNAK/PGM5/PDCD6IP/PRKCB/BIN1/WASF2/MSRA/MPRIP/ABLIM1/DNM2/MYH11/AKAP13/PXN/ARPC5L/RAPGEF3/SORBS1/PDLIM5/WASL/FLOT2/ONECUT2/RHOQ/DIAPH2/DST/CTNNA1/ARHGAP6/MYOT/SPTAN1/KAT2B/VASP/KPTN/ERC1/ANLN/ALDOA/PLS1/ACTR2/TRMT10A/YES1/TRIP6/POTEKP/NEBL/SIPA1L1/ANG/SNCA/GSN/CRYAB/TMOD1/RAB5A/PAWR/DDR2/MYH9/FKBP15/BAIAP2L1/CFL2/ARHGAP35/ARPC2/PIEZO1/MICALL2/VILL/FMN1/KLHL20/PPP1R9B/FCHSD1/DLC1/SPATA13/LMOD1/SYNPO/SPRY2/TWF1/IQGAP1/EZR/MYL5/MYO1C/CFL1/TNNT3/ACTC1/LDB3/FHOD1/TLN2/RCSD1/SORBS2/PALLD/MYO6/FLOT1/BLOC1S6/ASB2/MACF1/MARK2/FERMT2/TAOK2/LPP/AXL/WIPF1/ACTN1/SRC/WDR1/MICAL2/DAPK1/LUZP1/CLIC4/CD2AP/MARCKS/SMTN/PTK2/VCL/MTSS1/NF2/CNN1/ACTN2/HIP1/INF2/FMN2/FLNA/EPHA3/ESPN/ADAM17/MYO9B/JAM3/NEXN/TTC17/SWAP70/TPM3/MYLK/LIMA1/PDLIM4/TPM2/CORO2B/MYOZ3/RARA/GMFB/APC2/DMD/MYO1B/DMTN/ACTA1/MYOZ2/PARVA/HSPB7/CDH1/CDH2/LCP1/ACTG2/ADAM8/DIXDC1/ACTA2/ASAP1/FLNB/CRK/BCAR1/SCN8A/DOCK5/LSP1/PHLDB2/MYO5B/ADD2/ACACA/XIRP2/DGKH/FYN/DHX9/ABRA/TPM1/CDC42BPA/SVIL/SYNPO2L/TPM4/MYO5A/TEK/RAC2/TTN/MYL3/RDX/GAS2/FILIP1/AFAP1L1/TNNC1/CTTNBP2/CDC42EP4/MYL4/LMOD3/COTL1/PARVG/ARC/TNNC2/TNNI2/FERMT3/HNRNPC/FLT1/PLEKHH2/TAGLN2/DPYSL3/PTPN12/AIF1L/SAMD14/BAIAP2/CLDN5/CNN3/MYO1F/TNNI1/MYL2/VIL1/MYL1/TNNT2/KLHL14/SCIN/FBLIM1/LMOD2/SPECC1/RHOU/FILIP1L/MYH8/MYH7/CORO1A/LAD1/WASF1/BIN2/SRCIN1/MYH1/ITPKA/MYH2/GBP1/GJB6/MYO1G/ARHGEF5/MYRIP/LIMCH1",259
"GO:0000793","condensed chromosome","147/5463","241/14708",0.609958506224066,1.64218738962906,7.72689912461039,3.34252986131349e-14,2.484098699695e-12,1.89585413747763e-12,"SKA2/CENPF/ITGB3BP/NUF2/CENPL/MAD2L1/NCAPG/ZWILCH/BRCA1/ZWINT/SMC4/CBX3/NDC80/CENPI/TTK/CENPQ/CHEK1/SGO2/KIF18A/SPC25/CENPW/KNTC1/TOP2A/CENPU/NUP133/CCNB1/TOPBP1/AURKA/CENPK/SMC2/ACTL6A/CENPE/RAD21/NEK2/NUP107/PHF6/CHMP5/BUB3/BUB1/NSL1/SPDL1/KIF2C/CDT1/NCAPG2/SMC3/CENPN/HMGB2/PSMC3IP/BIRC5/RAD1/KNL1/SMC5/XPO1/MTBP/RIF1/BUB1B/HJURP/ERCC6L/KAT5/CENPH/NUP43/ARID2/CENPA/ACTB/NUP160/DSN1/FANCD2/CENPM/SEC13/NUP37/SPC24/SPAG5/CBX5/NDE1/PAFAH1B1/BLM/CDK2/KNSTRN/MIS12/RAD51/SGO1/NUP85/FBXO28/CLASP2/SKA1/MKI67/CDC20/NCAPD3/NUDCD2/SS18L1/PSEN1/BRCA2/SUGT1/NDEL1/KAT2B/ZNF207/CHMP4B/AHCTF1/SKA3/DCTN1/CENPO/SYCE1L/CSNK1A1/PLK1/AGO3/SUN2/CLIP1/SMC6/CHMP4C/PSEN2/CENPV/NCAPH/LRPPRC/ADD3/SYCE2/PHF10/SMC1A/CENPC/CHMP6/APC/SYCP2L/DYNC1LI2/PLK3/SLF1/HSF1/DMC1/RASSF2/SMC1B/RANGAP1/ZNF276/NUP98/C14orf39/TUBA1A/UBE2I/FBXW11/TPR/AURKB/NCAPH2/HSPA2/NOL6/MAD1L1/L3MBTL1/TTN/MTCL1/SYCE1/SYCP2/SYCE3",147
"GO:0043292","contractile muscle fiber","144/5463","235/14708",0.612765957446809,1.64974587262084,7.71831267514994,3.59493299521707e-14,2.484098699695e-12,1.89585413747763e-12,"DEK/PLEC/ILK/FXR1/ATP2B4/PDLIM7/SYNPO2/SYNE1/SPTBN1/COL6A1/CALD1/CAPZB/PDLIM2/PDE4B/TUFT1/PARVB/SLMAP/NBR1/PPP1R12B/MYL9/AHNAK/PGM5/BIN1/MYH11/CSRP1/FHL5/CAPN3/CTNNB1/SQSTM1/STUB1/PDLIM5/DST/MYOT/DAG1/KAT2B/REM1/ALDOA/FLNC/NEBL/CRYAB/TMOD1/CALM1/CFL2/KCTD6/LMOD1/SYNPO/TWF1/PPP3CB/MYL5/ABCC9/CSRP2/BAG3/TNNT3/ACTC1/LDB3/FBXO22/SORBS2/PALLD/SYNM/CAB39/DES/ASB2/ARHGEF25/FERMT2/KCNA5/SYNC/KCNN3/ACTN1/CASQ2/ANK2/JPH2/SLC8A1/VCL/ACTN2/KY/FLNA/ANK3/NEXN/TPM3/SMPX/PDLIM4/TPM2/RYR1/MYOZ3/DMD/CASQ1/ACTA1/MYOZ2/PARVA/MYBPC1/ACTA2/FLNB/HRC/TRIM63/DNAJB4/OBSCN/SCN8A/MMP2/CDK5R1/XIRP2/MYOM1/ABRA/TPM1/ENO1/TCAP/SVIL/SYNPO2L/CACNA1C/TPM4/AHNAK2/CMYA5/TTN/MYL3/TNNC1/MYL4/LMOD3/TNNC2/TNNI2/PRKD1/PDE4DIP/JPH1/FBP2/TNNI1/MYL2/MYL1/HSPB1/TNNT2/ATP2A1/FBXO32/LMOD2/MYOM3/MYH8/MYH7/CSRP3/UNC45B/MYH1/RTN2/MYH2/TRIM54/ITGB1BP2/IDO1/NPNT/FHL2/KRT8",144
