"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030055","cell-substrate junction","192/3379","390/14708",0.492307692307692,2.14290072165183,12.4928056897309,1.42809184533691e-30,8.79180371922842e-28,6.30036097404696e-28,"LRP1/ZYX/ANXA6/PLEC/FHL1/ILK/TLN1/FLII/RHOA/RRAS/EPB41L2/PDLIM7/SYNPO2/RHOB/ARHGAP31/ADD1/RHOG/CAT/ACTB/ARHGAP26/ENG/PARVB/PRKAR2A/CHP1/FAM107A/SORBS3/ITGA5/TNS1/NEDD9/AHNAK/PGM5/PDCD6IP/LIMS2/JAK1/MPRIP/DNM2/CLASP2/SLC9A1/CD99/MMP14/CSRP1/PXN/TNS2/CTNNB1/APBB1IP/SORBS1/ADGRE5/FLOT2/DST/CTNNA1/DAG1/VASP/STARD8/TSPAN4/BSG/CD99L2/GIT1/GIT2/FLNC/ACTR2/PTK2B/NECTIN2/TRIP6/SH3KBP1/GSN/UBOX5/DDR2/MRC2/ARL2/ITGB3/MYH9/AKAP12/ITGB4/CD81/ARPC2/ZFYVE21/VIM/TGM2/PIP5K1A/DLC1/PTPRA/PDGFRB/MAP2K2/PPFIBP1/FES/IQGAP1/EZR/PCBP2/MSN/SNAP23/YWHAE/EHD3/SHC1/CFL1/PIP5K1C/ACTC1/IGF2R/G3BP1/SCARF2/PACSIN2/HSPG2/PPIB/TLN2/SORBS2/PALLD/PFN1/MAPK1/P4HB/FLOT1/CAPN5/BLOC1S6/ICAM1/FERMT2/LPP/ACTN1/SRC/ITGA8/CD59/CD44/GNA13/CD151/SNTB2/IL1RL1/VCL/LIMK1/CDC42EP1/CNN1/ACTN2/FLNA/ADAM17/HMGA1/GDI2/NEXN/TGFB1I1/ASAP3/LIMA1/SMPX/CORO2B/THY1/EPHA2/PRUNE1/DMD/DPP4/PARVA/ITGA6/ITGB2/LCP1/CAV2/DIXDC1/EGFR/FLNB/CSPG4/DAB2/BCAR1/FGFR3/PHLDB2/JAK2/PVR/XIRP2/SNTB1/ALOX15B/AMBRA1/MCAM/IL16/CASS4/SVIL/CBL/TPM4/ARHGEF7/TEK/RAC2/TNC/ARHGAP24/RDX/NRP1/ADAM9/ITGA2/B2M/PARVG/PTPRC/FERMT3/ARHGEF2/FLT1/PTPN12/AIF1L/MAPRE2/COL17A1/ITGB1/HSPB1/RHOU/CDH13/FHL2",192
"GO:0005925","focal adhesion","188/3379","380/14708",0.494736842105263,2.15347424494946,12.4413431159216,2.66015241126427e-30,8.79180371922842e-28,6.30036097404696e-28,"LRP1/ZYX/ANXA6/PLEC/FHL1/ILK/TLN1/FLII/RHOA/RRAS/EPB41L2/PDLIM7/SYNPO2/RHOB/ARHGAP31/ADD1/RHOG/CAT/ACTB/ARHGAP26/ENG/PARVB/PRKAR2A/CHP1/FAM107A/SORBS3/ITGA5/TNS1/NEDD9/AHNAK/PGM5/PDCD6IP/LIMS2/JAK1/MPRIP/DNM2/CLASP2/SLC9A1/CD99/MMP14/CSRP1/PXN/TNS2/CTNNB1/APBB1IP/SORBS1/ADGRE5/FLOT2/DST/CTNNA1/DAG1/VASP/STARD8/TSPAN4/BSG/CD99L2/GIT1/GIT2/FLNC/ACTR2/PTK2B/NECTIN2/TRIP6/SH3KBP1/GSN/UBOX5/DDR2/MRC2/ARL2/ITGB3/MYH9/AKAP12/ITGB4/CD81/ARPC2/ZFYVE21/VIM/TGM2/PIP5K1A/DLC1/PTPRA/PDGFRB/MAP2K2/PPFIBP1/FES/IQGAP1/EZR/PCBP2/MSN/SNAP23/YWHAE/EHD3/SHC1/CFL1/PIP5K1C/ACTC1/IGF2R/G3BP1/SCARF2/PACSIN2/HSPG2/PPIB/TLN2/SORBS2/PALLD/PFN1/MAPK1/P4HB/FLOT1/CAPN5/BLOC1S6/ICAM1/FERMT2/LPP/ACTN1/SRC/ITGA8/CD59/CD44/GNA13/CD151/SNTB2/IL1RL1/VCL/LIMK1/CDC42EP1/CNN1/ACTN2/FLNA/ADAM17/HMGA1/GDI2/NEXN/TGFB1I1/ASAP3/LIMA1/CORO2B/THY1/EPHA2/PRUNE1/DPP4/PARVA/ITGA6/ITGB2/LCP1/CAV2/DIXDC1/EGFR/FLNB/CSPG4/DAB2/BCAR1/FGFR3/PHLDB2/JAK2/PVR/XIRP2/SNTB1/ALOX15B/AMBRA1/MCAM/IL16/CASS4/SVIL/CBL/TPM4/ARHGEF7/TEK/RAC2/TNC/ARHGAP24/RDX/NRP1/ADAM9/ITGA2/B2M/PARVG/PTPRC/ARHGEF2/FLT1/PTPN12/AIF1L/MAPRE2/ITGB1/HSPB1/RHOU/CDH13/FHL2",188
"GO:0030016","myofibril","127/3379","226/14708",0.561946902654867,2.44602398468416,11.9639833016431,1.97423847640553e-27,4.34990544301352e-25,3.1172186469561e-25,"PLEC/ILK/ATP2B4/PDLIM7/SYNPO2/SYNE1/SPTBN1/COL6A1/CALD1/CAPZB/PDLIM2/PDE4B/PARVB/SLMAP/NBR1/PPP1R12B/MYL9/AHNAK/PGM5/BIN1/CSRP1/FHL5/CAPN3/CTNNB1/SQSTM1/STUB1/PDLIM5/DST/MYOT/DAG1/KAT2B/REM1/ALDOA/FLNC/CRYAB/TMOD1/CALM1/CFL2/KCTD6/LMOD1/SYNPO/PPP3CB/ABCC9/BAG3/TNNT3/ACTC1/LDB3/SORBS2/PALLD/SYNM/CAB39/DES/ASB2/ARHGEF25/FERMT2/KCNA5/SYNC/KCNN3/ACTN1/CASQ2/ANK2/JPH2/SLC8A1/VCL/ACTN2/KY/FLNA/ANK3/NEXN/TPM3/SMPX/PDLIM4/TPM2/RYR1/MYOZ3/DMD/CASQ1/ACTA1/MYOZ2/PARVA/MYBPC1/FLNB/HRC/TRIM63/DNAJB4/OBSCN/MMP2/XIRP2/MYOM1/ABRA/TPM1/ENO1/TCAP/SVIL/SYNPO2L/CACNA1C/TPM4/AHNAK2/CMYA5/TTN/MYL3/TNNC1/MYL4/LMOD3/TNNC2/TNNI2/PDE4DIP/FBP2/TNNI1/MYL2/MYL1/HSPB1/TNNT2/ATP2A1/FBXO32/LMOD2/MYOM3/MYH8/MYH7/CSRP3/UNC45B/MYH1/RTN2/MYH2/TRIM54/ITGB1BP2/FHL2",127
"GO:0043292","contractile muscle fiber","130/3379","235/14708",0.553191489361702,2.40791370983484,11.8820408672519,3.69660575185777e-27,6.10864100494497e-25,4.37755944298947e-25,"PLEC/ILK/ATP2B4/PDLIM7/SYNPO2/SYNE1/SPTBN1/COL6A1/CALD1/CAPZB/PDLIM2/PDE4B/PARVB/SLMAP/NBR1/PPP1R12B/MYL9/AHNAK/PGM5/BIN1/MYH11/CSRP1/FHL5/CAPN3/CTNNB1/SQSTM1/STUB1/PDLIM5/DST/MYOT/DAG1/KAT2B/REM1/ALDOA/FLNC/CRYAB/TMOD1/CALM1/CFL2/KCTD6/LMOD1/SYNPO/PPP3CB/MYL5/ABCC9/BAG3/TNNT3/ACTC1/LDB3/SORBS2/PALLD/SYNM/CAB39/DES/ASB2/ARHGEF25/FERMT2/KCNA5/SYNC/KCNN3/ACTN1/CASQ2/ANK2/JPH2/SLC8A1/VCL/ACTN2/KY/FLNA/ANK3/NEXN/TPM3/SMPX/PDLIM4/TPM2/RYR1/MYOZ3/DMD/CASQ1/ACTA1/MYOZ2/PARVA/MYBPC1/ACTA2/FLNB/HRC/TRIM63/DNAJB4/OBSCN/MMP2/XIRP2/MYOM1/ABRA/TPM1/ENO1/TCAP/SVIL/SYNPO2L/CACNA1C/TPM4/AHNAK2/CMYA5/TTN/MYL3/TNNC1/MYL4/LMOD3/TNNC2/TNNI2/PDE4DIP/FBP2/TNNI1/MYL2/MYL1/HSPB1/TNNT2/ATP2A1/FBXO32/LMOD2/MYOM3/MYH8/MYH7/CSRP3/UNC45B/MYH1/RTN2/MYH2/TRIM54/ITGB1BP2/FHL2",130
"GO:0030017","sarcomere","118/3379","206/14708",0.572815533980582,2.49333260544138,11.7879032062431,1.39586311846398e-26,1.84533104260938e-24,1.32239663854482e-24,"PLEC/ILK/ATP2B4/PDLIM7/SYNPO2/SYNE1/SPTBN1/CAPZB/PDLIM2/PDE4B/PARVB/SLMAP/NBR1/PPP1R12B/MYL9/PGM5/BIN1/CSRP1/FHL5/CAPN3/CTNNB1/SQSTM1/STUB1/PDLIM5/DST/MYOT/KAT2B/REM1/ALDOA/FLNC/CRYAB/TMOD1/CALM1/CFL2/KCTD6/LMOD1/SYNPO/PPP3CB/ABCC9/BAG3/TNNT3/ACTC1/LDB3/SORBS2/PALLD/CAB39/DES/ASB2/ARHGEF25/FERMT2/KCNA5/SYNC/KCNN3/ACTN1/CASQ2/ANK2/JPH2/SLC8A1/ACTN2/KY/FLNA/ANK3/NEXN/TPM3/SMPX/PDLIM4/TPM2/RYR1/MYOZ3/DMD/CASQ1/ACTA1/MYOZ2/PARVA/MYBPC1/FLNB/HRC/TRIM63/DNAJB4/OBSCN/MMP2/XIRP2/MYOM1/ABRA/TPM1/ENO1/TCAP/SYNPO2L/CACNA1C/TPM4/CMYA5/TTN/MYL3/TNNC1/MYL4/LMOD3/TNNC2/TNNI2/FBP2/TNNI1/MYL2/MYL1/HSPB1/TNNT2/ATP2A1/FBXO32/LMOD2/MYOM3/MYH8/MYH7/CSRP3/UNC45B/MYH1/RTN2/MYH2/TRIM54/ITGB1BP2/FHL2",118
"GO:0015629","actin cytoskeleton","208/3379","475/14708",0.437894736842105,1.90605379978505,10.9625836399547,1.54649153124032e-24,1.70371817024975e-22,1.22091436676867e-22,"ZYX/PLEC/FLII/EPB41L2/PDLIM7/SYNPO2/SYNE1/ARPC4/ADD1/SPTBN1/ABLIM3/MYADM/CALD1/CAPZB/ACTB/GABARAP/VPS18/PDLIM2/GAS2L1/PARVB/ACTR1A/FAM107A/PKNOX2/PPP1R12B/MYL9/AHNAK/PGM5/PDCD6IP/PRKCB/BIN1/WASF2/MSRA/MPRIP/ABLIM1/DNM2/MYH11/AKAP13/PXN/RAPGEF3/SORBS1/PDLIM5/WASL/FLOT2/RHOQ/DIAPH2/DST/CTNNA1/ARHGAP6/MYOT/SPTAN1/KAT2B/VASP/ERC1/ALDOA/ACTR2/TRIP6/POTEKP/SIPA1L1/ANG/SNCA/GSN/CRYAB/TMOD1/RAB5A/DDR2/MYH9/FKBP15/CFL2/ARHGAP35/ARPC2/PIEZO1/MICALL2/VILL/FMN1/KLHL20/PPP1R9B/FCHSD1/DLC1/SPATA13/LMOD1/SYNPO/SPRY2/IQGAP1/EZR/MYL5/MYO1C/CFL1/TNNT3/ACTC1/LDB3/FHOD1/TLN2/RCSD1/SORBS2/PALLD/FLOT1/BLOC1S6/ASB2/MACF1/MARK2/FERMT2/TAOK2/LPP/AXL/WIPF1/ACTN1/SRC/WDR1/MICAL2/DAPK1/LUZP1/CLIC4/SMTN/VCL/MTSS1/NF2/CNN1/ACTN2/HIP1/INF2/FLNA/EPHA3/ADAM17/MYO9B/JAM3/NEXN/SWAP70/TPM3/MYLK/LIMA1/PDLIM4/TPM2/CORO2B/MYOZ3/RARA/APC2/DMD/DMTN/ACTA1/MYOZ2/PARVA/HSPB7/LCP1/ACTG2/ADAM8/DIXDC1/ACTA2/ASAP1/FLNB/CRK/BCAR1/DOCK5/LSP1/PHLDB2/XIRP2/DHX9/ABRA/TPM1/SVIL/SYNPO2L/TPM4/MYO5A/TEK/RAC2/TTN/MYL3/RDX/FILIP1/AFAP1L1/TNNC1/CTTNBP2/CDC42EP4/MYL4/LMOD3/PARVG/ARC/TNNC2/TNNI2/FYN/FERMT3/FLT1/TAGLN2/PTPN12/AIF1L/SAMD14/BAIAP2/CLDN5/MYO1F/TNNI1/MYL2/MYL1/TNNT2/LMOD2/SPECC1/RHOU/FILIP1L/MYH8/MYH7/CORO1A/LAD1/BIN2/MYH1/ITPKA/MYH2/GJB6/MYO1G/MYRIP/LIMCH1",208
"GO:0062023","collagen-containing extracellular matrix","170/3379","407/14708",0.417690417690418,1.81810910428845,9.14082891897236,9.65045540878149e-18,9.11278717886366e-16,6.53038335932582e-16,"CLU/ANXA6/FBLN5/SERPINB6/PSAP/ANXA11/TIMP3/COL6A1/ADAMTS1/LAMB2/SRPX/LTBP4/SERPINF1/BGN/ITIH5/ADAMTS8/LTBP1/CXCL12/CTSB/NID1/ANGPTL1/DST/DAG1/FGFR2/MMRN2/ANGPTL2/LAMA2/COL6A2/EFEMP2/LAMA4/SFRP1/ANG/SSC5D/FBN1/MMP28/MFGE8/TGFB3/TIMP2/ITGB4/TPSAB1/THSD4/TGFB1/THBS1/TGM2/CRELD1/PRELP/VIT/FBLN1/LGALS1/OGN/EMILIN1/P3H2/CCDC80/GDF10/HSPG2/ELN/ACAN/LGALS9/COL13A1/ACHE/MFAP5/ADAMTS9/PKM/COLQ/VWF/MXRA7/COLEC12/ICAM1/ANGPTL4/HTRA1/FMOD/COL5A3/COL27A1/PODN/SEMA7A/SPON1/CD151/DPT/SERPINA5/MFAP4/CMA1/ADAMTSL4/EGFLAM/MEGF9/FBLN2/LMAN1L/ADIPOQ/GPC1/TGFB1I1/KAZALD1/COL14A1/NCAM1/FN1/FGF10/ITIH4/VWA1/THBS4/SDC3/F13A1/NTN4/SERPINA3/SOD3/EGFL7/AEBP1/PDGFB/FCN1/ADAMTS3/BCAN/ACTA2/CFP/CSPG4/TPSB2/DCN/COL4A3/MMP2/SERPINA1/COL18A1/VCAN/ECM1/IGFBP7/LGALS3/COL4A2/SDC2/EDIL3/EFEMP1/ELANE/SERPING1/NDP/TNC/CBLN4/EFNA5/FLG/S100A4/FREM1/ADAMTS5/COL28A1/TINAGL1/SPARC/TIMP1/LTBP2/COL15A1/MYOC/PCOLCE/SERPINB9/ADAMTS15/COL12A1/ADAMTS2/APOA1/SERPINF2/MMRN1/COL17A1/ABI3BP/CILP/MMP8/PLG/AGT/TNR/LAD1/HAPLN2/COL4A4/KRT1/S100A9/C1QC/MUC2/SFRP2/CDH13/TGFBI/S100A8/MGP/SPARCL1",170
"GO:0098857","membrane microdomain","126/3379","274/14708",0.45985401459854,2.00163742134221,9.14013954155399,2.32253678574646e-17,1.91899601922302e-15,1.3751862547183e-15,"FXYD1/ATP2B4/IL6ST/TGFBR2/MYADM/PRNP/EHD2/TPP1/PRKAR2A/CHP1/AHNAK/STIM1/ATP1A2/BEST1/SLC9A1/S1PR1/CTNNB1/PLPP3/VDAC1/PSEN1/SORBS1/FLOT2/RHOQ/CTNNA1/PI4K2A/DAG1/STOM/CLN3/PLPP1/IKBKB/TNFRSF1A/RAB5A/FAS/RFTN1/BMPR2/PECAM1/DLC1/INPP5D/ERLIN1/EZR/MYO1C/HYAL2/MYOF/PACSIN2/CD4/SELPLG/FAIM2/MAPK1/PLVAP/PTGIS/FLOT1/FURIN/HK1/ICAM1/KCNA5/SRC/CLIP3/LIPE/ADRA1A/SPRED1/TNFRSF1B/ADCYAP1R1/VCL/CD36/CD55/ADAM17/MAL/APP/GPC1/ENTPD1/SGCA/THY1/BACE1/INSR/DMD/DPP4/ADRA1B/SLC2A4/PDPN/LYN/ITGB2/CARD11/ABCG2/IGF1R/CAV2/CD79A/EGFR/GPRC5B/ITLN1/PPP2R1B/PTGS2/NOS3/MAG/BST2/ITGAM/ADTRP/RTN4RL1/JAK2/CR1/SELE/CBL/PGK1/SYNJ2/TEK/LCP2/PLLP/IRS1/CD19/RGMB/EFNA5/ARC/PTPRC/FYN/MAPT/MLC1/HTR2A/ITGB1/P2RX1/CD14/KCNA3/TNR/ACE2/SLC1A2/CDH13/KCNE3/MS4A1",126
"GO:0031674","I band","79/3379","142/14708",0.556338028169014,2.4216098604054,9.29639996100062,3.25625746887867e-17,2.19326560605046e-15,1.57173265820958e-15,"PLEC/ATP2B4/PDLIM7/SYNPO2/PDLIM2/PDE4B/PARVB/SLMAP/PPP1R12B/MYL9/PGM5/BIN1/CSRP1/FHL5/CAPN3/CTNNB1/STUB1/PDLIM5/DST/MYOT/KAT2B/REM1/ALDOA/FLNC/CRYAB/CFL2/SYNPO/PPP3CB/BAG3/ACTC1/LDB3/SORBS2/PALLD/CAB39/DES/ASB2/FERMT2/KCNA5/SYNC/KCNN3/ACTN1/CASQ2/ANK2/JPH2/SLC8A1/ACTN2/KY/FLNA/ANK3/NEXN/PDLIM4/RYR1/MYOZ3/DMD/CASQ1/MYOZ2/PARVA/FLNB/HRC/TRIM63/DNAJB4/OBSCN/XIRP2/TCAP/SYNPO2L/CACNA1C/TTN/MYL3/FBP2/HSPB1/ATP2A1/FBXO32/MYH7/CSRP3/UNC45B/RTN2/TRIM54/ITGB1BP2/FHL2",79
"GO:0045121","membrane raft","125/3379","272/14708",0.459558823529412,2.00035252337099,9.09440814772987,3.31810227844245e-17,2.19326560605046e-15,1.57173265820958e-15,"FXYD1/ATP2B4/IL6ST/TGFBR2/MYADM/PRNP/EHD2/TPP1/PRKAR2A/CHP1/AHNAK/STIM1/ATP1A2/SLC9A1/S1PR1/CTNNB1/PLPP3/VDAC1/PSEN1/SORBS1/FLOT2/RHOQ/CTNNA1/PI4K2A/DAG1/STOM/CLN3/PLPP1/IKBKB/TNFRSF1A/RAB5A/FAS/RFTN1/BMPR2/PECAM1/DLC1/INPP5D/ERLIN1/EZR/MYO1C/HYAL2/MYOF/PACSIN2/CD4/SELPLG/FAIM2/MAPK1/PLVAP/PTGIS/FLOT1/FURIN/HK1/ICAM1/KCNA5/SRC/CLIP3/LIPE/ADRA1A/SPRED1/TNFRSF1B/ADCYAP1R1/VCL/CD36/CD55/ADAM17/MAL/APP/GPC1/ENTPD1/SGCA/THY1/BACE1/INSR/DMD/DPP4/ADRA1B/SLC2A4/PDPN/LYN/ITGB2/CARD11/ABCG2/IGF1R/CAV2/CD79A/EGFR/GPRC5B/ITLN1/PPP2R1B/PTGS2/NOS3/MAG/BST2/ITGAM/ADTRP/RTN4RL1/JAK2/CR1/SELE/CBL/PGK1/SYNJ2/TEK/LCP2/PLLP/IRS1/CD19/RGMB/EFNA5/ARC/PTPRC/FYN/MAPT/MLC1/HTR2A/ITGB1/P2RX1/CD14/KCNA3/TNR/ACE2/SLC1A2/CDH13/KCNE3/MS4A1",125
