"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098687","chromosomal region","154/2134","320/14708",0.48125,3.31688144329897,17.2623974457299,1.37885980018137e-47,8.75575973115172e-45,7.19909958831538e-45,"SKA2/CENPF/DSCC1/ITGB3BP/RAD51AP1/NUF2/DNA2/CENPL/MAD2L1/NCAPG/HELLS/ZWILCH/MIS18A/ZWINT/SMC4/CBX3/NDC80/CENPI/TTK/CENPQ/CHEK1/SGO2/MCM6/KIF18A/SPC25/PCNA/POT1/CENPW/KNTC1/EZH2/TOP2A/CENPU/HDAC2/NUP133/CCNB1/SUV39H2/AURKA/CENPK/MCM4/MCM2/ACTL6A/ORC4/CENPE/RAD21/NEK2/THOC1/CDK1/MSH2/POLR2B/NUP107/PHF6/CHMP5/BUB3/BUB1/NSL1/SPDL1/KIF2C/CDT1/CBX1/SMC3/FEN1/CENPN/WRN/BIRC5/KNL1/SMC5/XPO1/CDCA8/MTBP/RCC2/ESCO2/RIF1/BUB1B/HJURP/ERCC6L/RECQL4/CENPH/NUP43/ARID2/CENPA/ATR/NUP160/DSN1/OIP5/CENPM/PRKDC/NUP37/SPC24/ORC3/SPAG5/CBX5/NDE1/DHX36/BLM/CDK2/KNSTRN/MIS12/RAD51/SGO1/NUP85/RAD17/DNMT1/STAG2/FBXO28/CDCA5/SKA1/PDS5A/CDC20/NCAPD3/HAT1/DNMT3A/THOC2/UHRF2/MCM7/NUDCD2/SS18L1/BRCA2/SUGT1/ZNF207/FMR1/AHCTF1/STAG1/SMCHD1/SKA3/ORC1/CENPO/SSB/RBBP4/PLK1/SMC6/CHMP4C/MCM3/CENPV/PIF1/PHF10/SMC1A/CENPC/XRCC5/MIS18BP1/SYCP2L/KDM4C/CHEK2/SLF1/ZBTB10/DMC1/WRNIP1/HNRNPA2B1/SUN1/BAZ1A/ZNF827/PML/AURKB/MTCL1/SYCP2",154
"GO:0000775","chromosome, centromeric region","108/2134","207/14708",0.521739130434783,3.59594148567703,15.4954295960025,1.06355756722595e-37,3.3767952759424e-35,2.77644501760038e-35,"SKA2/CENPF/DSCC1/ITGB3BP/NUF2/CENPL/MAD2L1/NCAPG/HELLS/ZWILCH/MIS18A/ZWINT/SMC4/CBX3/NDC80/CENPI/TTK/CENPQ/SGO2/KIF18A/SPC25/CENPW/KNTC1/EZH2/TOP2A/CENPU/NUP133/CCNB1/SUV39H2/AURKA/CENPK/ACTL6A/CENPE/RAD21/NEK2/NUP107/PHF6/CHMP5/BUB3/BUB1/NSL1/SPDL1/KIF2C/CDT1/CBX1/SMC3/CENPN/BIRC5/KNL1/SMC5/XPO1/CDCA8/MTBP/RCC2/ESCO2/BUB1B/HJURP/ERCC6L/CENPH/NUP43/ARID2/CENPA/NUP160/DSN1/OIP5/CENPM/NUP37/SPC24/SPAG5/CBX5/NDE1/KNSTRN/MIS12/SGO1/NUP85/DNMT1/STAG2/FBXO28/CDCA5/SKA1/PDS5A/CDC20/NCAPD3/DNMT3A/UHRF2/NUDCD2/SS18L1/SUGT1/ZNF207/FMR1/AHCTF1/STAG1/SKA3/CENPO/PLK1/SMC6/CHMP4C/CENPV/PHF10/SMC1A/CENPC/MIS18BP1/SYCP2L/KDM4C/BAZ1A/AURKB/MTCL1/SYCP2",108
"GO:0000793","condensed chromosome","115/2134","241/14708",0.477178423236515,3.28881923569009,14.7588765802603,2.96282363396304e-35,6.27131002522177e-33,5.15635271033568e-33,"SKA2/CENPF/ITGB3BP/NUF2/CENPL/MAD2L1/NCAPG/ZWILCH/BRCA1/ZWINT/SMC4/CBX3/NDC80/CENPI/TTK/CENPQ/CHEK1/SGO2/KIF18A/SPC25/CENPW/KNTC1/TOP2A/CENPU/NUP133/CCNB1/TOPBP1/AURKA/CENPK/SMC2/ACTL6A/CENPE/RAD21/NEK2/NUP107/PHF6/CHMP5/BUB3/BUB1/NSL1/SPDL1/KIF2C/CDT1/NCAPG2/SMC3/CENPN/HMGB2/PSMC3IP/BIRC5/RAD1/KNL1/SMC5/XPO1/MTBP/RIF1/BUB1B/HJURP/ERCC6L/CENPH/NUP43/ARID2/CENPA/NUP160/DSN1/FANCD2/CENPM/NUP37/SPC24/SPAG5/CBX5/NDE1/BLM/CDK2/KNSTRN/MIS12/RAD51/SGO1/NUP85/FBXO28/SKA1/MKI67/CDC20/NCAPD3/NUDCD2/SS18L1/BRCA2/SUGT1/ZNF207/AHCTF1/SKA3/CENPO/SYCE1L/PLK1/AGO3/SMC6/CHMP4C/CENPV/NCAPH/LRPPRC/SYCE2/PHF10/SMC1A/CENPC/SYCP2L/SLF1/DMC1/C14orf39/TUBA1A/UBE2I/AURKB/NCAPH2/L3MBTL1/MTCL1/SYCP2/SYCE3",115
"GO:0005819","spindle","138/2134","363/14708",0.380165289256198,2.62018325884731,12.8762589581401,3.71347001305164e-29,5.89513364571948e-27,4.84705559598319e-27,"ECT2/FBXO5/SKA2/CENPF/CKAP2/MAD2L1/ALMS1/ZWILCH/KIF14/HAUS1/PIN4/CBX3/CDC7/TTK/RACGAP1/KIF18A/NUSAP1/KNTC1/ASPM/CCNB1/TOPBP1/DLGAP5/SPAST/AURKA/KIF4A/CENPE/KIF15/HMMR/PRC1/RAD21/KIF23/KIFC1/NEK2/CDK1/KIF18B/CHMP5/KIF11/IQCB1/NSL1/SPDL1/HAUS6/KIF2C/NEDD1/DYNLT1/CDC6/CBX1/SMC3/SPICE1/KIF20B/CKAP2L/BIRC5/FAM161A/UHRF1/ESPL1/CDCA8/NME7/RCC2/RIF1/TUBGCP5/BUB1B/CEP295/LSM14A/ZZZ3/HEPACAM2/SHCBP1/DSN1/RAE1/CEP95/SPAG5/KIF20A/NDE1/DIAPH3/DCUN1D5/VPS4B/TPX2/HAUS2/KNSTRN/MIS12/EFHC1/SGO1/NUP85/STAG2/POLB/SKA1/TUBB2B/BORA/CDC20/BRCC3/AUNIP/NPM1/FAM83D/CEP44/GPSM2/NUDCD2/NGRN/CEP128/YEATS2/CDK5RAP2/TAF1D/SAC3D1/NSUN2/MBIP/ZNF207/STAG1/HAUS3/SKA3/LATS1/HAUS8/CEP350/BCCIP/CSPP1/MZT1/MID1/PLK1/CEP89/HAUS5/FBF1/SMC6/CHMP4C/CENPV/MAP9/CEP162/SMC1A/CCAR2/PSRC1/TFDP2/DDX11/CEP63/FMN2/ATAT1/CEP85/TACC3/AURKB/TADA2A/DCDC2/MTCL1/MAK/CRMP1",138
"GO:0000779","condensed chromosome, centromeric region","81/2134","155/14708",0.52258064516129,3.60174139129909,13.4145539486516,1.30061128449739e-28,1.65177633131169e-26,1.35811199391728e-26,"SKA2/CENPF/ITGB3BP/NUF2/CENPL/MAD2L1/NCAPG/ZWILCH/ZWINT/CBX3/NDC80/CENPI/TTK/CENPQ/SGO2/KIF18A/SPC25/CENPW/KNTC1/CENPU/NUP133/CCNB1/AURKA/CENPK/ACTL6A/CENPE/NEK2/NUP107/PHF6/CHMP5/BUB3/BUB1/NSL1/SPDL1/KIF2C/CDT1/CENPN/BIRC5/KNL1/XPO1/MTBP/BUB1B/HJURP/ERCC6L/CENPH/NUP43/ARID2/CENPA/NUP160/DSN1/CENPM/NUP37/SPC24/SPAG5/CBX5/NDE1/KNSTRN/MIS12/SGO1/NUP85/FBXO28/SKA1/CDC20/NCAPD3/NUDCD2/SS18L1/SUGT1/ZNF207/AHCTF1/SKA3/CENPO/PLK1/CHMP4C/CENPV/PHF10/SMC1A/CENPC/SYCP2L/AURKB/MTCL1/SYCP2",81
"GO:0000776","kinetochore","75/2134","144/14708",0.520833333333333,3.58969853170884,12.8650846227659,1.83768976526907e-26,1.94488833490977e-24,1.5991124974973e-24,"SKA2/CENPF/ITGB3BP/NUF2/CENPL/MAD2L1/ZWILCH/ZWINT/NDC80/CENPI/TTK/CENPQ/SGO2/KIF18A/SPC25/CENPW/KNTC1/CENPU/NUP133/CCNB1/AURKA/CENPK/ACTL6A/CENPE/NEK2/NUP107/PHF6/CHMP5/BUB3/BUB1/NSL1/SPDL1/KIF2C/CDT1/CENPN/BIRC5/KNL1/XPO1/MTBP/BUB1B/HJURP/ERCC6L/CENPH/NUP43/ARID2/NUP160/DSN1/CENPM/NUP37/SPC24/SPAG5/CBX5/NDE1/KNSTRN/MIS12/SGO1/NUP85/FBXO28/SKA1/CDC20/NUDCD2/SS18L1/SUGT1/ZNF207/AHCTF1/SKA3/CENPO/PLK1/CHMP4C/CENPV/PHF10/SMC1A/CENPC/AURKB/MTCL1",75
"GO:0005814","centriole","62/2134","136/14708",0.455882352941176,3.14204200893103,10.3385678538708,2.58737754619579e-18,2.34712105976332e-16,1.92983347806483e-16,"STIL/ALMS1/PLK4/TOP2A/AURKA/CEP78/SASS6/CEP76/CEP192/CEP97/IQCB1/NEDD1/SPICE1/BIRC5/CEP152/MPHOSPH9/CEP55/CEP295/IFT81/CEP83/CEP290/RTTN/MDM1/HYLS1/ODF2L/AGBL3/C2CD3/OFD1/CEP135/CCP110/AHI1/CEP44/IFT52/CEP128/LRRCC1/CEP350/CNTLN/BCCIP/PLA2G3/WDR90/CCDC88A/PLK1/CEP89/FBF1/CETN3/ROCK1/CEP162/KIF24/SDCCAG8/CEP131/CEP41/CEP63/CCNF/CEP85/AGBL4/WRAP73/CCHCR1/SAXO2/CCDC102B/DEUP1/PCM1/NPHP4",62
"GO:0000228","nuclear chromosome","76/2134","193/14708",0.393782383419689,2.71403528366297,9.87443869504874,1.35767108426302e-17,1.07765142313378e-15,8.86059023413763e-16,"NCAPG/ORC6/BRCA1/WDHD1/SMC4/RPA3/CHEK1/GINS1/MCM6/POLE2/PCNA/FIGNL1/TOP2A/HDAC2/GINS2/TOPBP1/SMC2/MCM4/MCM2/PRIM1/ACTL6A/ORC4/RAD21/NEK2/MCM10/ETAA1/NCAPG2/SMC3/PRIM2/PSMC3IP/BIRC5/RAD1/TIMELESS/ACTR6/POLD3/TIPIN/ANP32E/TRIM24/TET1/ORC3/EXOSC9/BLM/POLA1/POLA2/RAD51/CDC45/NCAPD3/MCM7/BRCA2/SMCHD1/ORC1/SAP30/ZRANB3/SYCE1L/RBBP4/PLK1/RUVBL1/AGO3/MCM3/ING3/GINS4/NCAPH/LRPPRC/SYCE2/SMC1A/GINS3/SYCP2L/DMC1/BAZ1A/CPSF6/C14orf39/UBE2I/NCAPH2/HELB/SYCP2/SYCE3",76
"GO:0000922","spindle pole","66/2134","155/14708",0.425806451612903,2.93475224476222,9.97556423226155,1.65914947802906e-17,1.1706221317205e-15,9.62500749827384e-16,"CENPF/CKAP2/MAD2L1/ALMS1/HAUS1/KNTC1/ASPM/CCNB1/TOPBP1/DLGAP5/SPAST/AURKA/KIF15/PRC1/RAD21/NEK2/KIF11/NSL1/SPDL1/NEDD1/CDC6/SMC3/KIF20B/CKAP2L/FAM161A/TUBGCP5/DSN1/RAE1/CEP95/SPAG5/NDE1/DIAPH3/VPS4B/TPX2/KNSTRN/MIS12/EFHC1/SGO1/STAG2/CDC20/BRCC3/AUNIP/NPM1/FAM83D/CEP44/GPSM2/NUDCD2/CEP128/CDK5RAP2/STAG1/LATS1/HAUS8/BCCIP/CSPP1/PLK1/CEP89/FBF1/SMC6/SMC1A/PSRC1/DDX11/CEP63/CEP85/TACC3/AURKB/MTCL1",66
"GO:0000940","outer kinetochore","18/2134","18/14708",1,6.89222118088097,10.3044999466794,7.63538675422766e-16,4.84847058893456e-14,3.98647561062834e-14,"SKA2/CENPF/NUF2/ZWINT/NDC80/SPC25/CCNB1/BUB1/NSL1/SPDL1/KNL1/BUB1B/DSN1/SPC24/MIS12/SKA1/SKA3/PLK1",18
