"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003779","actin binding","225/5386","413/14486",0.544794188861985,1.46525967691324,7.37987192573117,3.27017706601004e-13,4.12369328023866e-10,3.50769518975182e-10,"KIF18A/PLEC/TLN1/GAS2L3/FLII/PXK/EPB41L2/PDLIM7/SYNPO2/IQGAP3/SYNE1/ARPC4/ADD1/SPTBN1/ABLIM3/CALD1/CAPZB/SSH1/PHACTR2/VPS18/PDLIM2/MYO19/GAS2L1/MYO3A/PARVB/IPP/DIAPH3/FAM107A/PKNOX2/TNS1/VASH2/BIN1/TAGLN/WASF2/BCL7B/MPRIP/ABLIM1/MYH11/CLASP2/HOOK1/ARPC5L/SORBS1/PDLIM5/WASL/DIAPH2/DST/DAAM2/CTNNA1/MYOT/SPTAN1/DAG1/VASP/KPTN/WIPF3/ANLN/ALDOA/PLS1/FMNL3/FLNC/CCDC88A/ACTR2/SPIRE2/NEBL/UTRN/ANG/SNCA/GSN/TMOD1/EGFR/PRKCE/PAWR/MYH9/FKBP15/BAIAP2L1/CFL2/ARPC2/PANX1/MICALL2/VILL/FMN1/KLHL20/PPP1R9B/ENAH/ADD3/LMOD1/SYNPO/TWF1/IQGAP1/EZR/MYO1C/MSN/CFL1/TNNT3/FXYD5/LDB3/KLHL5/INO80/FHOD1/TLN2/RCSD1/PALLD/PFN1/P4HB/MYO6/BLOC1S6/CACNB2/MACF1/SNTA1/FERMT2/WIPF1/ACTN1/CTNNA3/WDR1/MICAL2/LUZP1/SNTB2/CD2AP/MARCKS/TMSB15B/SMTN/PFN2/PTK2/VCL/MTSS1/NF2/KLHL4/CNN1/ACTN2/HIP1/INF2/FMN2/FLNA/FMNL2/ESPN/MYO9B/TRPM7/CAP2/NEXN/COBLL1/TPM3/MYLK/LIMA1/PDLIM4/TPM2/CORO2B/MYOZ3/CEACAM1/GMFB/DMD/MYO1B/DMTN/MYOZ2/FMNL1/PARVA/HCLS1/MYBPC1/EPS8L1/LCP1/ACE/MAP1A/DIXDC1/MARCKSL1/FLNB/CTNNAL1/NOS3/AFDN/LSP1/MYO5B/CDK5R1/ADD2/XIRP2/SNTB1/ABRA/TPM1/SVIL/SYNPO2L/TPM4/MYO5A/CXCR4/TTN/MYL3/RDX/GAS2/TNNC1/EPB41L1/MYL4/LMOD3/S100A4/COTL1/PARVG/TNNC2/TNNI2/PLEKHH2/TAGLN2/AIF1L/SAMD14/MAPT/CNN3/MYO1F/TNNI1/ITGB1/MYL2/VIL1/TNNT2/SCIN/ERMN/LMOD2/WASF3/MYH8/MYH7/PIP/CORO1A/CSRP3/WASF1/EPB41/MYH1/MAP1B/SHANK3/EPS8L2/MYH2/GBP1/GJB6/MYO1G/MYRIP/LIMCH1",225
"GO:0015631","tubulin binding","193/5386","349/14486",0.553008595988539,1.48735286325473,7.09005059862693,2.66025743645709e-12,1.67729231368619e-09,1.42673806723672e-09,"SKA2/CENPF/NUF2/BRCA1/KIF14/NDC80/RACGAP1/KIF18A/NUSAP1/DLGAP5/SPAST/KIF4A/CENPE/KIF15/PRC1/KIF23/KIFC1/MAP4/KIF18B/PHF6/KIF11/TBCE/HAUS6/KIF2C/CCT5/NEDD1/GAS2L3/SMC3/KIF20B/BIRC5/FAM161A/STMN1/KNL1/CRIPT/SVBP/SETD2/CACYBP/RCC2/VBP1/TUBGCP5/GTSE1/CEP295/IFT81/PDCD5/PRNP/MAP1LC3B/GABARAP/RAE1/GABARAPL1/GAS2L1/PDE4B/SPC24/SPAG5/KIF20A/NDE1/CHP1/DIAPH3/CCDC69/MTUS1/PAFAH1B1/MDM1/STRBP/OPA1/RGS14/VASH2/AGBL3/OFD1/KNSTRN/CEP135/EFHC1/STIM1/KIF1C/POLB/DNM2/CLASP2/SKA1/HOOK1/TUBGCP2/CEP57L1/CEP70/FAM83D/CEP44/NUMA1/BRCA2/CDK5RAP2/DST/KIF13A/DAG1/NDEL1/ZNF207/FMR1/WIPF3/SKA3/HAUS8/CEP350/DCTN1/B4GALT1/UNC5C/ALDOA/GIT1/BCCIP/CCDC88A/CCSER2/SPIRE2/NAV3/MID1/PLK1/SNCA/CRYAB/RAB11FIP5/ARL8B/SUN2/CLIP1/CLIP4/CETN3/EML2/TTLL5/FEZ1/GOLGA2/MAP9/LRPPRC/MAPRE3/FES/EZR/KIF24/TRIM36/BCL2L11/EML3/INO80/PSRC1/APC/CAMSAP1/CLIP2/CEP57/MACF1/CLIP3/GAPDH/APPL1/TTLL11/RMDN2/EML5/LUZP1/CAPN6/KATNB1/TTBK2/CCDC88C/AGTPBP1/TUBGCP6/PRUNE1/TPGS1/AGBL4/TAOK1/APC2/IFT74/LYN/TBCD/KIF1A/KIF26B/MAP1A/FBXW11/DIXDC1/KIF5C/TPR/SAXO2/KIF19/REEP2/MAP6D1/CDK5R1/TTLL7/MTUS2/FYN/CCDC88B/ARHGEF7/MAP2/KIF21A/GAS2/TPPP/MTCL1/NEIL2/ARHGEF2/TIAM1/SYT11/MAPT/MAPRE2/STMN3/JAKMIP2/S100A9/MAP1B/DCX/TRIM54/GJB6/S100A8/KLC3",193
"GO:0050839","cell adhesion molecule binding","256/5386","494/14486",0.518218623481781,1.39378295205293,6.85097235057462,1.14402665560338e-11,4.80872537571955e-09,4.09039705985911e-09,"TMPO/PLEC/FBLN5/CHMP5/ILK/TLN1/TBC1D10A/PAICS/CCNB2/ADD1/ITGA7/SPTBN1/OLA1/SIRPA/CALD1/CAPZB/TXNDC9/FNBP1L/IGSF9/LAMB2/PTPRO/EPCAM/SCRIB/DIAPH3/EHD1/LARP1/ITGA5/ADAM15/AHNAK/EEF2/LTBP4/RPL29/ICAM2/WASF2/PICALM/MPRIP/MMP14/ADAMTS8/PLIN3/SNX1/CTNNB1/SVEP1/PLPP3/PRKCA/CXCL12/PSEN1/PDLIM5/ARHGAP1/GFRA1/HDLBP/DST/CTNNA1/SPTAN1/VASP/TSPAN4/BSG/CHMP4B/ERC1/ANLN/ARGLU1/ALDOA/HSP90AB1/IGF1/ARHGAP18/NECTIN2/F11R/UTRN/RANBP1/RUVBL1/FBN1/EGFR/PTPN2/MFGE8/CD47/ITGB3/MYH9/BAIAP2L1/ITGB4/NLGN2/CD81/BMPR2/ESAM/JAM2/CAST/THBS1/VSIG10/PTPN11/GOLGA2/MPP7/STAT1/FBLN1/PPFIBP1/TWF1/CXADR/PKN2/IQGAP1/EZR/EMILIN1/MSN/YWHAE/FGF2/CDH19/EGFL6/BAG3/PACSIN2/FXYD5/HSPG2/ESM1/TLN2/NRXN2/DSP/PALLD/PFN1/PKM/VWF/P4HB/GCN1/MACF1/ICAM1/PTPRM/MARK2/FERMT2/EEF1D/CLINT1/ACTN1/SRC/CTNNA3/SYK/RAB11B/ITGA8/NISCH/SEMA7A/CD151/CD2AP/NOTCH3/NEO1/USO1/NRCAM/PTK2/VCL/NF2/CDC42EP1/ACTN2/DMP1/SNX5/CADM1/FLNA/TENM2/CDH11/FMNL2/ROBO3/ADAM17/ANK3/APP/JAM3/NEXN/NINJ1/FGF1/EMP2/COBLL1/SWAP70/LIMA1/EPS15L1/DSG2/RANGAP1/THY1/EPHA2/FN1/MYO1B/PKP4/PARVA/ARVCF/EIF2S3/THBS4/ITGA6/LYN/ITGB2/CDH1/RSL1D1/OLFM4/ICAM3/EPS8L1/CDH2/LCP1/TNKS1BP1/DAB2IP/POSTN/ADAM8/SH3GLB2/ASAP1/STXBP6/MICALL1/FLNB/PROM1/PTPRB/S1PR3/CTNNAL1/CX3CL1/SFN/CDH26/DDX6/AFDN/COL4A3/ITGAM/PHLDB2/CDK5R1/CDH5/PVR/IBSP/EDIL3/SLAMF1/MCAM/FCER2/ENO1/CBL/DNAJB1/DCHS1/PTN/PTPRJ/ITGAD/TNC/CNTN2/RDX/ITGAL/GFAP/CD1D/ADAM9/ITGA2/CD200/GPNMB/ADAMTS5/FERMT3/CDH6/CNTN4/ADAMTS13/TAGLN2/BAIAP2/CNN3/ITGB8/ITGB1/FAP/ITGA9/NLGN4X/TENM1/FRMD5/LAD1/EPS8L2/CDHR5/SFRP2/KRT18/ITGB1BP2/PTPRT/CDH13/TGFBI/JAML/NPNT",256
"GO:0005178","integrin binding","96/5386","150/14486",0.64,1.72132194578537,6.83175851955557,2.04583852980578e-11,6.44950596521271e-09,5.48607753124233e-09,"FBLN5/ILK/TLN1/ITGA7/LAMB2/ITGA5/ADAM15/LTBP4/ICAM2/MMP14/ADAMTS8/SVEP1/PLPP3/PRKCA/CXCL12/GFRA1/DST/TSPAN4/IGF1/F11R/UTRN/FBN1/EGFR/PTPN2/MFGE8/ITGB3/MYH9/ITGB4/CD81/JAM2/THBS1/FBLN1/CXADR/EMILIN1/FGF2/EGFL6/HSPG2/ESM1/TLN2/VWF/P4HB/ICAM1/FERMT2/ACTN1/SRC/SYK/ITGA8/NISCH/SEMA7A/CD151/PTK2/NF2/ACTN2/DMP1/ADAM17/APP/JAM3/FGF1/EMP2/THY1/FN1/THBS4/ITGA6/LYN/ITGB2/ICAM3/LCP1/S1PR3/CX3CL1/CDH26/COL4A3/ITGAM/IBSP/EDIL3/FCER2/PTN/ITGAD/TNC/ITGAL/GFAP/ADAM9/ITGA2/GPNMB/ADAMTS5/FERMT3/ADAMTS13/ITGB8/ITGB1/FAP/ITGA9/FRMD5/SFRP2/ITGB1BP2/TGFBI/JAML/NPNT",96
"GO:0008017","microtubule binding","143/5386","257/14486",0.556420233463035,1.4965286858421,6.17867631280211,1.02739042730324e-09,2.59107865765877e-07,2.20402283246737e-07,"SKA2/CENPF/NUF2/KIF14/NDC80/RACGAP1/KIF18A/NUSAP1/DLGAP5/SPAST/KIF4A/CENPE/KIF15/PRC1/KIF23/KIFC1/MAP4/KIF18B/KIF11/HAUS6/KIF2C/GAS2L3/KIF20B/BIRC5/FAM161A/KNL1/CRIPT/SVBP/RCC2/TUBGCP5/GTSE1/CEP295/PRNP/MAP1LC3B/GABARAP/RAE1/GAS2L1/SPC24/SPAG5/KIF20A/NDE1/CHP1/DIAPH3/CCDC69/MTUS1/PAFAH1B1/MDM1/STRBP/OPA1/RGS14/VASH2/KNSTRN/CEP135/STIM1/KIF1C/POLB/DNM2/CLASP2/SKA1/HOOK1/TUBGCP2/CEP57L1/FAM83D/CEP44/NUMA1/CDK5RAP2/DST/KIF13A/NDEL1/ZNF207/FMR1/SKA3/HAUS8/CEP350/DCTN1/CCDC88A/CCSER2/SPIRE2/NAV3/MID1/PLK1/CRYAB/SUN2/CLIP1/CLIP4/CETN3/EML2/GOLGA2/MAP9/LRPPRC/MAPRE3/FES/EZR/KIF24/BCL2L11/EML3/PSRC1/APC/CAMSAP1/CLIP2/CEP57/MACF1/CLIP3/GAPDH/RMDN2/EML5/LUZP1/CAPN6/KATNB1/TTBK2/CCDC88C/TUBGCP6/TPGS1/APC2/KIF1A/KIF26B/MAP1A/FBXW11/KIF5C/SAXO2/KIF19/REEP2/MAP6D1/MTUS2/CCDC88B/MAP2/KIF21A/GAS2/TPPP/MTCL1/NEIL2/ARHGEF2/TIAM1/MAPT/MAPRE2/JAKMIP2/S100A9/MAP1B/DCX/TRIM54/GJB6/S100A8/KLC3",143
"GO:0140297","DNA-binding transcription factor binding","213/5386","431/14486",0.494199535962877,1.32918204195288,5.3374162452812,9.62668754235807e-08,2.02320883181892e-05,1.72098150976542e-05,"CENPF/TDG/HES6/DCAF13/GMNN/CDKN2A/NR1H2/PCNA/HDAC2/TAF11/TACC1/RAD21/MED30/HMGN3/NOTCH2/RBBP8/WWP2/PBXIP1/TCF12/NCAPG2/HMGB2/MEF2C/NCOR1/ZNHIT3/RXRA/EPAS1/ADD1/SMARCD3/SP3/NR4A3/E2F1/KAT5/TCF7L2/STAT3/SMAD2/ACTB/MAX/TRIM24/AR/GABARAPL1/BHLHE40/PRKDC/CEBPG/WBP2/NFIA/TADA3/CBX5/TMF1/DHRS7B/HIPK2/EXOSC9/ZBTB7A/TCF3/NCOA1/FOS/POU4F1/BCL6/PRKCB/MED14/BAZ2A/NCOA3/NKX2-1/UBXN7/DAZAP2/PPARA/STAT5B/ATF2/NPM1/DNMT3A/MTDH/CTNNB1/UHRF2/MED16/MAP3K7/SMAD3/CD34/PRDM13/KAT2B/BBS10/CXXC5/SKI/ZNF366/LATS1/BHLHE41/TOB2/SP1/MED17/CRY2/ARNT/NR4A1/TRIP6/DCAF1/LCOR/ASCL2/MEF2D/BCOR/AIP/KAT6A/PTPN2/TFDP1/GRHL2/WIPI1/CREB3/CNOT7/CTDP1/SOX17/CSNK2B/PPARGC1B/ASCL1/SPEN/MLXIPL/ARID5A/ATOH8/NCOA2/CITED2/PSIP1/ZFPM1/SIRT2/JMJD1C/FIZ1/PBX2/NFKBIA/HIF1AN/HEY1/FOXP1/KDM4C/BCL2/TLE1/EEF1D/BBS7/BBS1/SRC/WFS1/SOX10/STK4/RARB/HSF1/CTBP1/GATA4/NCOR2/YAP1/DGKQ/TAL1/ETS1/PPARGC1A/PIAS2/PRRX1/JUN/SIK1/SOX8/FLNA/MYOCD/HMGA1/GATA2/ISL1/TGFB1I1/ASAH1/TRIB2/CREB1/HDAC11/HCLS1/MDFIC/RARG/SRF/RNF25/ZBTB17/NSD1/ZFPM2/PROX1/TBX5/RBFOX2/TLE4/KLF4/GTF2I/VDR/DHX9/THRAP3/RERG/NLRP3/SP100/PRAME/PPARG/RNF6/MAPK14/CEBPA/TP53/LEF1/LMO2/MYC/NFE2L2/NHLH2/TBX3/HES1/SPI1/PBX1/BCL11A/HSPB1/NEUROD1/TCF21/GRHL1/TRIB1/RB1/SDR16C5/LMO3/SMARCA1/KLF5/PADI2/PRDM16/DLL1/GATA3/PTPRT/ID4/FHL2",213
"GO:0003678","DNA helicase activity","45/5386","66/14486",0.681818181818182,1.83379468656112,5.22300196155462,3.02287576089312e-07,5.36680463583833e-05,4.56511033341897e-05,"RFC4/RFC3/DSCC1/DNA2/RFC5/MCM6/BRIP1/MCM4/MCM2/MCM8/RAD54B/RAD54L/POLQ/WRN/ERCC6L/RECQL4/DHX36/BLM/RAD51/RECQL/CHD8/CHD6/MCM7/CHD1L/FANCM/NAV2/ZGRF1/DHX30/RUVBL1/HFM1/CHD2/MCM3/PIF1/G3BP1/XRCC5/DDX11/ASCC3/WRNIP1/CHD9/ERCC2/MCM9/RAD54L2/DHX9/HELB/CHD5",45
"GO:0019887","protein kinase regulator activity","121/5386","226/14486",0.535398230088496,1.43998862997808,5.12870404686307,3.40479279038118e-07,5.36680463583833e-05,4.56511033341897e-05,"CCNE2/CDKN2A/CCNA2/CCNB1/TOPBP1/CKS1B/ETAA1/CCNB2/IL6ST/DBF4/CDKN2C/MAP3K13/CNPPD1/CKS2/CCNE1/WNK1/PRKAR2A/CHP1/RHEB/CCNT2/NEK9/CCND2/DAZAP2/SH3BP5/CCNJ/MOB3A/AKT1S1/CAB39L/NPM1/SMCR8/SLC27A1/CASP3/KAT2B/TOM1L1/MBIP/CCNC/MNAT1/CCDC88A/HSP90AB1/DBF4B/ACSL1/ALS2/DNAJC3/SNCA/EGFR/CALM1/HBEGF/TGFB1/CSNK2B/PRKAG1/MAP2K2/ATG13/CDC37/PRKCH/SPRY2/IQGAP1/CXCL10/HYAL2/SAV1/GDF10/NCKAP1L/APC/PAK1IP1/CCND3/CCNY/CAB39/GCN1/MARK2/FERMT2/TAOK2/SRC/MOB3C/STK4/SPRED1/MOB3B/STK3/PDE8A/DGKQ/CCNG2/BMP4/ITPRIP/GRM5/CD24/CCNF/ADIPOQ/TRIB2/TAOK1/GMFB/INSR/PARVA/PKIB/MTCP1/SOCS3/CCND1/DAB2IP/EREG/PRKRA/GPRC5B/TESC/SFN/AFAP1L2/CDK5R1/EPO/LTF/DEPTOR/VEGFA/RAC2/TTN/EFNA5/PTPRC/PRKAR2B/AGAP2/RGCC/HTR2A/HSPB1/TCL1A/TRIB1/CDKN2B/FAM20A/PPP1R1B/WNT11",121
"GO:0008307","structural constituent of muscle","31/5386","41/14486",0.75609756097561,2.03357394509704,5.09854710743312,6.04035383011737e-07,7.66010214352588e-05,6.51583462102164e-05,"PLEC/MYL9/MYH11/CSRP1/CAPN3/MYOT/DAG1/NEBL/MYL5/CSRP2/SORBS2/SYNM/SMTN/ACTN2/NEXN/TPM2/DMD/MYBPC1/ASPH/OBSCN/MYOM1/TPM1/TCAP/TPM4/TTN/MYL3/JPH1/MYL2/MYL1/MYH8/CSRP3",31
"GO:0030695","GTPase regulator activity","208/5386","428/14486",0.485981308411215,1.30707858032768,4.96113868158782,6.5047385731111e-07,7.66010214352588e-05,6.51583462102164e-05,"ECT2/DEPDC1/RACGAP1/CHML/NUCB1/DEPDC1B/TBC1D10A/IQSEC1/RAPGEF1/IQGAP3/TBC1D7/RCC2/ARHGAP31/TBC1D5/SH2D3C/ARHGAP11A/ARHGDIA/SIRPA/PLEKHG4B/ARHGEF39/ARHGAP26/MYCBP2/DIS3/RAB3IP/ARFGAP2/MON1A/RABGAP1L/ARHGDIB/RASGRP2/EIF2B4/GBF1/GNAQ/RGS14/RASA3/ARL2BP/CPEB2/SH3BP5/RGS5/AKAP13/CYTH3/SMCR8/RAPGEF3/TSC2/GPSM2/WASL/PSD4/ARHGAP1/GPS2/RAP1A/ARHGEF19/RABEP1/ARHGAP6/ARRB1/SYDE1/STARD8/FARP1/ARHGEF17/CDC42SE1/ALS2CL/GIT1/GIT2/ABR/CCDC88A/ARHGAP18/ALS2/SH3BP4/DEPDC5/SIPA1L1/ARHGEF40/SOS2/RANBP1/TBC1D17/RIN3/AGFG2/SEC61B/ARHGAP35/HPS1/RANBP2/CDC42EP2/DLC1/DENND6B/PDGFRB/DENND3/ARHGAP23/CYTH1/SPATA13/TBC1D1/IQGAP1/CHM/DOCK1/RAPGEF2/OCRL/ADAP2/TAGAP/HACD3/VAV2/SESN2/NCKAP1L/BCR/PLEKHG4/ELMO1/RGS17/RGS9/ARHGEF25/TBXA2R/ADAP1/EEF1D/SBF1/ACAP1/SEC23A/TBC1D19/GNA13/TBC1D22B/IQSEC3/RASA2/RGS6/SGSM2/JUN/SBF2/VAV3/CCDC88C/IQSEC2/RALGDS/ARHGEF3/PREX1/MYO9B/GDI2/STARD13/TBC1D4/SWAP70/ASAP3/SOS1/RANGAP1/RALGPS1/HMGCR/THY1/DOCK4/SIPA1/GPSM3/PTGIR/GPS1/P2RY12/TBCD/EPS8L1/RHOF/DAB2IP/ARFGEF2/ARHGEF6/ASAP1/RALGAPA2/ALDH1A1/EIF2B5/KIAA1755/ARFGAP1/TBC1D30/SYDE2/RASGRF1/OBSCN/DOCK8/DOCK5/ARHGAP30/CYTH4/SLIT2/ARHGAP5/STXBP5L/AGAP11/DEPTOR/EVI5L/ARHGEF28/FGD5/ARHGEF7/SMAP2/ARHGAP24/FGD6/NRP1/RASAL3/ARHGAP36/ADRA2A/SRGAP1/PLCD4/RGL3/RGS1/ARHGAP9/FGD3/RGS11/ARHGEF2/FGD2/MCF2/AGAP2/HERC1/TIAM1/CYTH2/PLCE1/RASGRP4/RAPGEF5/NGEF/RASGEF1C/RHOU/ARHGEF37/ARFGEF3/EPS8L2/TBC1D10C/ARHGAP44/RHOD/RIMS1/ARHGEF5/DOCK2/CHN1",208
