"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003779","actin binding","178/3319","413/14486",0.430992736077482,1.88109694932763,9.90375749182397,2.21583444381481e-20,2.76092971699325e-17,2.19950724264985e-17,"PLEC/TLN1/FLII/PXK/EPB41L2/PDLIM7/SYNPO2/SYNE1/ARPC4/ADD1/SPTBN1/ABLIM3/CALD1/CAPZB/SSH1/PHACTR2/VPS18/PDLIM2/GAS2L1/PARVB/FAM107A/PKNOX2/TNS1/BIN1/TAGLN/WASF2/BCL7B/MPRIP/ABLIM1/MYH11/CLASP2/SORBS1/PDLIM5/WASL/DIAPH2/DST/DAAM2/CTNNA1/MYOT/SPTAN1/DAG1/VASP/WIPF3/ALDOA/FMNL3/FLNC/ACTR2/UTRN/ANG/SNCA/GSN/TMOD1/PRKCE/MYH9/FKBP15/CFL2/ARPC2/MICALL2/VILL/FMN1/KLHL20/PPP1R9B/ADD3/LMOD1/SYNPO/IQGAP1/EZR/MYO1C/MSN/CFL1/TNNT3/FXYD5/LDB3/INO80/FHOD1/TLN2/RCSD1/PALLD/PFN1/P4HB/BLOC1S6/CACNB2/MACF1/SNTA1/FERMT2/WIPF1/ACTN1/CTNNA3/WDR1/MICAL2/LUZP1/SNTB2/SMTN/VCL/MTSS1/NF2/KLHL4/CNN1/ACTN2/HIP1/INF2/FLNA/FMNL2/MYO9B/TRPM7/CAP2/NEXN/COBLL1/TPM3/MYLK/LIMA1/PDLIM4/TPM2/CORO2B/MYOZ3/CEACAM1/DMD/DMTN/MYOZ2/FMNL1/PARVA/HCLS1/MYBPC1/EPS8L1/LCP1/ACE/MAP1A/DIXDC1/EGFR/FLNB/NOS3/LSP1/XIRP2/SNTB1/ABRA/TPM1/SVIL/SYNPO2L/TPM4/MYO5A/TTN/MYL3/RDX/TNNC1/EPB41L1/MYL4/LMOD3/S100A4/PARVG/TNNC2/TNNI2/TAGLN2/AIF1L/SAMD14/MAPT/MYO1F/TNNI1/ITGB1/MYL2/TNNT2/ERMN/LMOD2/WASF3/MYH8/MYH7/PIP/CORO1A/CSRP3/EPB41/MYH1/MAP1B/SHANK3/EPS8L2/MYH2/GJB6/MYO1G/MYRIP/LIMCH1",178
"GO:0050839","cell adhesion molecule binding","201/3319","494/14486",0.406882591093117,1.77586659071253,9.56544646471188,2.23731631440151e-19,1.39384806387214e-16,1.11041541288454e-16,"PLEC/FBLN5/ILK/TLN1/TBC1D10A/ADD1/ITGA7/SPTBN1/SIRPA/CALD1/CAPZB/LAMB2/PTPRO/EHD1/LARP1/ITGA5/ADAM15/AHNAK/EEF2/LTBP4/RPL29/ICAM2/WASF2/PICALM/MPRIP/MMP14/ADAMTS8/PLIN3/SNX1/CTNNB1/SVEP1/PLPP3/PRKCA/CXCL12/PSEN1/PDLIM5/ARHGAP1/GFRA1/HDLBP/DST/CTNNA1/SPTAN1/VASP/TSPAN4/BSG/CHMP4B/ERC1/ALDOA/HSP90AB1/IGF1/ARHGAP18/NECTIN2/UTRN/FBN1/MFGE8/ITGB3/MYH9/ITGB4/NLGN2/CD81/BMPR2/ESAM/JAM2/CAST/THBS1/PTPN11/GOLGA2/MPP7/FBLN1/PPFIBP1/IQGAP1/EZR/EMILIN1/MSN/YWHAE/FGF2/CDH19/BAG3/PACSIN2/FXYD5/HSPG2/TLN2/NRXN2/PALLD/PFN1/PKM/VWF/P4HB/GCN1/MACF1/ICAM1/PTPRM/MARK2/FERMT2/EEF1D/CLINT1/ACTN1/SRC/CTNNA3/RAB11B/ITGA8/NISCH/SEMA7A/CD151/NOTCH3/NEO1/USO1/VCL/NF2/CDC42EP1/ACTN2/FLNA/TENM2/CDH11/FMNL2/ROBO3/ADAM17/ANK3/APP/JAM3/NEXN/NINJ1/FGF1/COBLL1/SWAP70/LIMA1/EPS15L1/RANGAP1/THY1/EPHA2/FN1/PKP4/PARVA/EIF2S3/THBS4/ITGA6/LYN/ITGB2/RSL1D1/OLFM4/ICAM3/EPS8L1/LCP1/TNKS1BP1/DAB2IP/ADAM8/SH3GLB2/EGFR/ASAP1/STXBP6/MICALL1/FLNB/PTPRB/S1PR3/CX3CL1/DDX6/COL4A3/ITGAM/PHLDB2/CDH5/PVR/EDIL3/SLAMF1/MCAM/FCER2/ENO1/CBL/DNAJB1/DCHS1/PTN/PTPRJ/ITGAD/TNC/CNTN2/RDX/ITGAL/GFAP/CD1D/ADAM9/ITGA2/CD200/ADAMTS5/FERMT3/CDH6/CNTN4/ADAMTS13/TAGLN2/BAIAP2/ITGB1/ITGA9/NLGN4X/TENM1/LAD1/EPS8L2/CDHR5/SFRP2/ITGB1BP2/PTPRT/CDH13/TGFBI/JAML",201
"GO:0005178","integrin binding","80/3319","150/14486",0.533333333333333,2.32776940845636,8.91146097631176,4.65387233951574e-16,1.93290831167887e-13,1.53986021619767e-13,"FBLN5/ILK/TLN1/ITGA7/LAMB2/ITGA5/ADAM15/LTBP4/ICAM2/MMP14/ADAMTS8/SVEP1/PLPP3/PRKCA/CXCL12/GFRA1/DST/TSPAN4/IGF1/UTRN/FBN1/MFGE8/ITGB3/MYH9/ITGB4/CD81/JAM2/THBS1/FBLN1/EMILIN1/FGF2/HSPG2/TLN2/VWF/P4HB/ICAM1/FERMT2/ACTN1/SRC/ITGA8/NISCH/SEMA7A/CD151/NF2/ACTN2/ADAM17/APP/JAM3/FGF1/THY1/FN1/THBS4/ITGA6/LYN/ITGB2/ICAM3/LCP1/EGFR/S1PR3/CX3CL1/COL4A3/ITGAM/EDIL3/FCER2/PTN/ITGAD/TNC/ITGAL/GFAP/ADAM9/ITGA2/ADAMTS5/FERMT3/ADAMTS13/ITGB1/ITGA9/SFRP2/ITGB1BP2/TGFBI/JAML",80
"GO:0030695","GTPase regulator activity","161/3319","428/14486",0.376168224299065,1.64181165929384,7.34788473937299,2.6017781425449e-12,8.07464055548174e-10,6.43269920065834e-10,"NUCB1/TBC1D10A/IQSEC1/RAPGEF1/ARHGAP31/TBC1D5/SH2D3C/ARHGDIA/SIRPA/ARHGAP26/MYCBP2/ARFGAP2/MON1A/ARHGDIB/RASGRP2/EIF2B4/GBF1/GNAQ/RGS14/RASA3/ARL2BP/CPEB2/SH3BP5/AKAP13/CYTH3/SMCR8/RAPGEF3/TSC2/WASL/PSD4/ARHGAP1/GPS2/RAP1A/RABEP1/ARHGAP6/ARRB1/SYDE1/STARD8/ARHGEF17/RGS5/CDC42SE1/ALS2CL/GIT1/GIT2/ABR/ARHGAP18/DEPDC5/SIPA1L1/ARHGEF40/SOS2/TBC1D17/RIN3/AGFG2/ARHGAP35/HPS1/CDC42EP2/DLC1/DENND6B/PDGFRB/DENND3/ARHGAP23/CYTH1/SPATA13/TBC1D1/IQGAP1/DOCK1/RAPGEF2/OCRL/ADAP2/TAGAP/SESN2/NCKAP1L/BCR/ELMO1/RGS9/ARHGEF25/TBXA2R/ADAP1/EEF1D/SBF1/ACAP1/SEC23A/GNA13/TBC1D22B/IQSEC3/RGS6/SGSM2/JUN/SBF2/VAV3/IQSEC2/RALGDS/ARHGEF3/PREX1/MYO9B/GDI2/STARD13/TBC1D4/SWAP70/ASAP3/SOS1/RANGAP1/THY1/DOCK4/SIPA1/GPSM3/PTGIR/GPS1/P2RY12/EPS8L1/RHOF/DAB2IP/ARFGEF2/ARHGEF6/ASAP1/ALDH1A1/KIAA1755/ARFGAP1/RASGRF1/RASA2/OBSCN/DOCK8/DOCK5/ARHGAP30/CYTH4/SLIT2/AGAP11/DEPTOR/EVI5L/FGD5/ARHGEF7/SMAP2/CHM/ARHGAP24/NRP1/RASAL3/ARHGAP36/ADRA2A/SRGAP1/PLCD4/ARHGAP9/FGD3/RGS11/ARHGEF2/FGD2/MCF2/AGAP2/HERC1/TIAM1/PLCE1/RASGRP4/NGEF/RASGEF1C/RHOU/ARHGEF37/EPS8L2/TBC1D10C/ARHGAP44/RHOD/RIMS1/DOCK2",161
"GO:0060589","nucleoside-triphosphatase regulator activity","161/3319","429/14486",0.375291375291375,1.63798459248896,7.31285785944394,3.24022494200712e-12,8.07464055548174e-10,6.43269920065834e-10,"NUCB1/TBC1D10A/IQSEC1/RAPGEF1/ARHGAP31/TBC1D5/SH2D3C/ARHGDIA/SIRPA/ARHGAP26/MYCBP2/ARFGAP2/MON1A/ARHGDIB/RASGRP2/EIF2B4/GBF1/GNAQ/RGS14/RASA3/ARL2BP/CPEB2/SH3BP5/AKAP13/CYTH3/SMCR8/RAPGEF3/TSC2/WASL/PSD4/ARHGAP1/GPS2/RAP1A/RABEP1/ARHGAP6/ARRB1/SYDE1/STARD8/ARHGEF17/RGS5/CDC42SE1/ALS2CL/GIT1/GIT2/ABR/ARHGAP18/DEPDC5/SIPA1L1/ARHGEF40/SOS2/TBC1D17/RIN3/AGFG2/ARHGAP35/HPS1/CDC42EP2/DLC1/DENND6B/PDGFRB/DENND3/ARHGAP23/CYTH1/SPATA13/TBC1D1/IQGAP1/DOCK1/RAPGEF2/OCRL/ADAP2/TAGAP/SESN2/NCKAP1L/BCR/ELMO1/RGS9/ARHGEF25/TBXA2R/ADAP1/EEF1D/SBF1/ACAP1/SEC23A/GNA13/TBC1D22B/IQSEC3/RGS6/SGSM2/JUN/SBF2/VAV3/IQSEC2/RALGDS/ARHGEF3/PREX1/MYO9B/GDI2/STARD13/TBC1D4/SWAP70/ASAP3/SOS1/RANGAP1/THY1/DOCK4/SIPA1/GPSM3/PTGIR/GPS1/P2RY12/EPS8L1/RHOF/DAB2IP/ARFGEF2/ARHGEF6/ASAP1/ALDH1A1/KIAA1755/ARFGAP1/RASGRF1/RASA2/OBSCN/DOCK8/DOCK5/ARHGAP30/CYTH4/SLIT2/AGAP11/DEPTOR/EVI5L/FGD5/ARHGEF7/SMAP2/CHM/ARHGAP24/NRP1/RASAL3/ARHGAP36/ADRA2A/SRGAP1/PLCD4/ARHGAP9/FGD3/RGS11/ARHGEF2/FGD2/MCF2/AGAP2/HERC1/TIAM1/PLCE1/RASGRP4/NGEF/RASGEF1C/RHOU/ARHGEF37/EPS8L2/TBC1D10C/ARHGAP44/RHOD/RIMS1/DOCK2",161
"GO:0005543","phospholipid binding","162/3319","436/14486",0.371559633027523,1.62169715096014,7.18585711832714,7.06016395520428e-12,1.46616071469742e-09,1.16802361574695e-09,"ITPR1/ANXA6/TLN1/FLII/PXK/PSAP/ANXA11/PLTP/SPTBN1/MAP1LC3B/TPP1/WDR45/GABARAP/ARHGAP26/GABARAPL1/VAMP2/OSBPL1A/DYSF/GBF1/ANKFY1/ZFYVE1/BIN1/LPAR1/TOM1/PICALM/PITPNA/DNM2/SLC9A1/CYTH3/OSBPL5/SNX1/VDAC1/NUMA1/ZCCHC2/PSD4/TOM1L2/PLEKHA2/DGKA/SNX17/PLCD1/TPCN1/LDLRAP1/RAB35/GGA3/SNCA/GSN/CPTP/SAP30L/PLEKHB2/SMURF1/MFGE8/PLD1/ARHGAP35/WIPI1/SNX27/VILL/THBS1/SNX18/FES/IQGAP1/RAPGEF2/ADAP2/SHC1/SEC14L2/MYOF/PACSIN2/CPNE8/RCSD1/PLA2G2A/ZFYVE28/PFN1/PAFAH2/LPAR4/SNX19/PCYT1A/F10/PITPNC1/ADAP1/FERMT2/CLINT1/GLTP/AXL/PHLDA3/APPL1/JPH2/NISCH/SNX33/CPNE7/WDFY3/SERPINA5/TECPR1/MTSS1/SBF2/ACTN2/HIP1/MAPKAP1/PREX1/PEBP1/SNX21/ITPR2/GRK5/EPDR1/CIDEC/THY1/PLA2G5/ZFYVE16/GLE1/JAG1/DAB2IP/ARFIP1/ASAP1/APOB/MICALL1/SYTL3/OSBPL10/PLEKHF1/CD300A/RASA2/OBSCN/CPNE6/GABARAPL3/RPH3A/PLA2G4C/PIK3C2A/CPS1/KCNJ3/DEPTOR/SVIL/NCF4/NLRP3/CIDEA/SNX12/STAM2/EEA1/PLA2G4A/SYT12/ARHGAP9/CETP/DPEP1/ANXA9/SNX20/FGD2/APOA1/MAPT/SYT3/UNC13C/CPNE9/IGHM/PACSIN3/CPNE5/BIN2/EPB41/NR5A2/KCNJ1/MAP1B/TRPM3/FZD7/DAPP1/ARHGAP44/APOA2/MYO1G/TIMD4",162
"GO:0019838","growth factor binding","64/3319","128/14486",0.5,2.18228382042784,7.32443913664629,1.72371637694836e-11,3.06821515096809e-09,2.44430758415385e-09,"GLG1/IL6ST/TGFBR2/COL6A1/ENG/LTBP4/IL6R/IGFBP6/FGFR1/PDGFA/NTRK3/CSF1R/LTBP1/FGFR2/NTRK2/FGFRL1/TGFB3/ITGB3/ITGB4/BMPR2/THBS1/PDGFRB/OSMR/NRP2/SHC1/TGFBR3/HYAL2/IGF2R/ACVRL1/ACVR1B/GHR/FURIN/HTRA1/IGFBP4/SORT1/ERBB2/CD36/GPC1/CHRDL1/KAZALD1/EPHA2/INSR/LRG1/ITGA6/LRRC32/IGF1R/PDGFB/IL1R1/IL1RN/EGFR/FGFR3/NRROS/IGFBP7/IL2RG/TEK/NRP1/LTBP2/FLT1/PDGFRA/IL1R2/NGFR/IGFBP1/IGFBP5/FGFBP2",64
"GO:0008307","structural constituent of muscle","28/3319","41/14486",0.682926829268293,2.98068034009656,6.92376252903813,7.78101483068772e-10,1.21189305987961e-07,9.65460129649805e-08,"PLEC/MYL9/MYH11/CSRP1/CAPN3/MYOT/DAG1/MYL5/SORBS2/SYNM/SMTN/ACTN2/NEXN/TPM2/DMD/MYBPC1/ASPH/OBSCN/MYOM1/TPM1/TCAP/TPM4/TTN/MYL3/MYL2/MYL1/MYH8/CSRP3",28
"GO:0005201","extracellular matrix structural constituent","71/3319","162/14486",0.438271604938272,1.91286606481946,6.36981811785775,2.5824712536075e-09,3.57528797999438e-07,2.84826946450511e-07,"FBLN5/COL6A1/LAMB2/SRPX/LTBP4/BGN/LTBP1/NID1/MMRN2/LAMA2/COL6A2/EFEMP2/LAMA4/FBN1/MFGE8/THSD4/THBS1/CRELD1/PRELP/FBLN1/OGN/EMILIN1/HSPG2/ELN/CD4/ACAN/COL13A1/MFAP5/COLQ/VWF/FMOD/COL5A3/COL27A1/PODN/SPON1/DPT/MFAP4/FBLN2/ADIPOQ/COL14A1/FN1/VWA1/MUC5AC/AEBP1/DCN/COL4A3/COL18A1/VCAN/ECM1/IGFBP7/COL4A2/EDIL3/EFEMP1/TNC/COL28A1/TINAGL1/SPARC/LTBP2/COL15A1/PCOLCE/COL12A1/MMRN1/COL17A1/ABI3BP/CILP/TFPI2/COL4A4/MUC6/STATH/TGFBI/MGP",71
"GO:0033218","amide binding","88/3319","218/14486",0.403669724770642,1.76184381832706,6.17884445296431,5.10896028149975e-09,6.36576451074869e-07,5.07131531100449e-07,"LRP1/CST3/CLU/TMEM120A/GSTM4/PIK3R1/PSAP/ACADVL/PLTP/GSTM1/ITM2B/PRNP/MAP1LC3B/HADHA/GSTM2/FKBP5/GSTM3/CD74/ECI2/EDNRB/PICALM/RAMP2/VDAC1/VIPR1/LDLRAP1/PTH1R/ACACB/ECE1/CPTP/CRYAB/TLR4/ADRB2/NPR1/CLN8/HSPG2/PPIB/VIPR2/ACHE/GHR/NQO2/UROS/ITM2A/GLTP/SLC40A1/CLIP3/GRIN1/FKBP10/RAMP1/RAMP3/ADCYAP1R1/PC/FPR2/CD36/CSF2RA/FKBP2/APP/CD1E/EPDR1/APBA1/LANCL1/BACE1/INSR/FBXO2/ITGB2/IGF1R/GRIA3/SLC19A1/MAG/ITGAM/PPIF/CMKLR1/NPR2/GRIN2A/LDLR/CD1D/ITGA2/PLA2G4A/APBB1/CALCRL/PTGES/APOA1/P2RX1/FOLR3/NGFR/NKTR/AVPR1A/BCHE/CD1C",88
