"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","100/2723","145/6792",0.689655172413793,1.72021224055618,7.17097983031116,1.15779196190707e-12,4.04069394705567e-10,3.35150304762572e-10,"FBXO5/MAD2L1/ORC6/CCNE2/SKP2/CDC7/NDC80/TTK/CHEK1/MCM6/CDKN2A/CCNA2/PCNA/HDAC2/CCNB1/MCM4/MCM2/ORC4/RAD21/CDK1/BUB3/BUB1/CDT1/PTTG1/CDC6/SMC3/TRIP13/ESPL1/KNL1/MTBP/CCNB2/DBF4/ESCO2/BUB1B/CDKN2C/E2F1/ESCO1/E2F3/ATR/SMAD2/PPP2R5D/YWHAQ/PRKDC/TICRR/CCNE1/ANAPC11/CDC25C/ORC3/NIPBL/CDC23/GADD45B/CDK2/RBL1/ANAPC4/MDM2/CCND2/SGO1/STAG2/CDCA5/PDS5A/CDC45/CDC20/MCM7/SMAD3/STAG1/ORC1/DBF4B/WEE1/PPP2R1A/PLK1/TGFB3/TFDP1/MCM3/TGFB1/RBL2/CDC14B/SMC1A/YWHAE/TFDP2/CCND3/DDX11/CHEK2/CDC25A/E2F5/FZR1/MAU2/PPP2R5B/E2F2/SMC1B/CCND1/ZBTB17/PPP2R1B/SFN/AURKB/MAD1L1/PPP2CB/TP53/MYC/RB1/CDKN2B",100
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","135/2723","226/6792",0.597345132743363,1.4899625933136,6.12792647726178,1.0890831722813e-09,1.90045013563086e-07,1.57630459145977e-07,"ZYX/PLEC/FHL1/TLN1/PDLIM7/SYNPO2/SYNE1/ITGA7/SPTBN1/COL6A1/CAPZB/ACTB/PDLIM2/DIAPH3/ITGA5/MYL9/BGN/ATP1A2/MYH11/CSRP1/LMNB2/CAPN3/TMEM43/PDLIM5/NID1/SSPN/DIAPH2/DAAM2/MYOT/SPTAN1/DAG1/LAMA2/COL6A2/FMNL3/FLNC/NEBL/TMOD1/SUN2/FBN1/ITGB3/MYH9/ITGB4/LMNA/VIM/THBS1/LMOD1/FBLN1/LMNB1/MYL5/CSRP2/TNNT3/ACTC1/ATP1B2/HSPG2/LDB3/ELN/TLN2/DSP/DES/SNTA1/COL5A3/ANK2/COL27A1/ITGA8/LBR/SNTB2/VCL/ACTN2/INF2/FMN2/SUN1/FMNL2/FBLN2/ANK3/TPM3/DSG2/PDLIM4/SGCA/TPM2/MYOZ3/FN1/DMD/ACTA1/MYOZ2/FMNL1/THBS4/SDC3/ITGA6/FBN3/MYBPC1/ACTG2/TRIM63/DCN/OBSCN/SGCD/COL4A3/COL11A1/CKM/VCAN/XIRP2/SNTB1/COL4A2/SDC2/MYOM1/TPM1/ENO1/TCAP/TPM4/TTN/MYL3/ITGA2/TNNC1/MYL4/LMOD3/TNNC2/TNNI2/TNNI1/ITGB8/ITGB1/MYL2/MYL1/TNNT2/SGCB/ITGA9/LMOD2/MYOM3/MYH8/MYH7/CSRP3/COL4A4/MYH1/MYH2/TRIM54/FHL2/SGCG",135
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","96/2723","159/6792",0.60377358490566,1.50599713135485,5.28127107300579,1.41103461450495e-07,1.64150360154076e-05,1.3615246280311e-05,"BRCA1/CCNE2/SOX4/CDKN2A/EZH2/HDAC2/KIF23/NOTCH2/MIRLET7D/RHOA/STMN1/PIK3R1/TIMP3/E2F1/STAT3/E2F3/DNMT3B/CCNE1/CDC25C/HOXD10/ITGA5/RASSF1/PRKCB/MDM2/GLS/CCND2/DNMT1/PDGFA/CDCA5/DNMT3A/PRKCA/FZD3/CASP3/NOTCH1/NRAS/ZEB1/IKBKB/SOS2/EGFR/PRKCE/ITGB3/NFKB1/RECK/BMPR2/ROCK1/VIM/THBS1/ZEB2/PDGFRB/MAP2K2/SPRY2/EZR/SHC1/BCL2L11/APC/FOXP1/MAPK1/BCL2/CDC25A/HMOX1/CD44/BCL2L2/ERBB2/NOTCH3/MARCKS/CYP1B1/ABCC1/E2F2/ABCB1/SOS1/APC2/MDM4/UBE2I/CCND1/PDGFB/CRK/ZFPM2/PTGS2/FGFR3/DICER1/PIK3CD/DDIT4/TPM1/VEGFA/TNC/RDX/IRS1/TP53/EFNA5/ST14/MYC/MCL1/PDGFRA/GLS2/MET/TNR",96
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","31/2723","42/6792",0.738095238095238,1.8410366717381,4.47233711747323,9.15334775385885e-06,0.000798629591524184,0.000662413324292417,"RMI1/FANCL/USP1/BRCA1/FANCI/RPA3/BRIP1/UBE2T/RAD51C/RMI2/FANCA/ATR/FANCG/FANCD2/BLM/RAD51/FANCF/BRCA2/FANCM/FANCC/ERCC1/REV3L/POLK/WDR48/POLI/FANCB/FAN1/TOP3A/POLH/REV1/HES1",31
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","115/2723","218/6792",0.527522935779816,1.31580454638873,3.87684658875013,8.23726202123067e-05,0.00574960889081901,0.00476894117018618,"RHOA/RRAS/PIK3R1/IQGAP3/ARPC4/ITGA7/SSH1/ACTB/DIAPH3/ITGA5/PPP1R12B/MYL9/LPAR1/WASF2/FGFR1/PDGFA/MYH11/SLC9A1/PXN/ARPC5L/ARAF/MRAS/CXCL12/WASL/PIP4K2A/DIAPH2/FGFR2/GIT1/ACTR2/NRAS/SOS2/GSN/EGFR/ITGB3/MYH9/ITGB4/CFL2/ARHGAP35/ARPC2/ROCK1/PIP5K1A/ENAH/PDGFRB/MAP2K2/MYL10/SPATA13/IQGAP1/EZR/MYL5/DOCK1/MSN/FGF2/CFL1/PDGFC/VAV2/PIP5K1C/NCKAP1L/APC/PFN1/MAPK1/LPAR4/ACTN1/SRC/ITGA8/GNA13/PIP4K2B/PFN2/PTK2/AKT3/VCL/LIMK1/VAV3/FGF1/SOS1/MYLK/LIMK2/FN1/APC2/FGF10/ITGA6/C7/FGF7/ITGB2/PDGFB/ARHGEF6/CRK/BCAR1/ITGAM/FGFR3/PIK3CD/CHRM2/PDGFD/GNG12/LPAR2/ARHGEF7/CXCR4/ITGAD/RAC2/RDX/ITGAL/ITGA2/C6/FGD3/TIAM1/RGCC/CHRM3/PDGFRA/BAIAP2/ITGB8/ITGB1/MYL2/ITGA9/SCIN/WASF1/BDKRB2",115
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","62/2723","107/6792",0.579439252336449,1.44529981706543,3.79787389899551,0.000128756044226341,0.00628614847179221,0.00521396721382252,"RHOA/PIK3R1/ACTB/MYL9/PRKCB/GNAI2/CD99/GNAI3/PXN/RAPGEF3/CTNNB1/PRKCA/CXCL12/RAP1A/CTNNA1/VASP/CD99L2/PTK2B/F11R/ARHGAP35/ESAM/JAM2/ROCK1/PECAM1/PTPN11/MYL10/EZR/MYL5/MSN/VAV2/ICAM1/ACTN1/CTNNA3/CLDN3/PTK2/VCL/VAV3/JAM3/THY1/SIPA1/OCLN/ITGB2/BCAR1/AFDN/ITGAM/MMP2/PIK3CD/CDH5/ARHGAP5/CYBB/NCF4/CXCR4/RAC2/CLDN4/ITGAL/MAPK14/MAPK13/CLDN5/ITGB1/MYL2/CLDN18/RASSF5",62
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","58/2723","99/6792",0.585858585858586,1.46131161041187,3.7822341445701,0.000138950179483941,0.00628614847179221,0.00521396721382252,"HDAC2/RHOA/INHBC/NCOR1/TGFBR2/SMAD2/INHBE/RBL1/EMP3/GREM2/LTBP1/SMAD3/TFRC/SKI/SP1/TGIF1/SMAD5/PPP2R1A/FBN1/SMURF1/TGFB3/TFDP1/THSD4/BMPR2/ROCK1/TGFB1/SMURF2/THBS1/SKIL/NODAL/ACVR1B/MAPK1/E2F5/FMOD/BMP8B/ACVR2B/NEO1/BMP4/BMP8A/CHRD/ZFYVE16/LRRC32/INHBA/BMPR1B/DCN/PPP2R1B/NRROS/PPP2CB/NOG/RGMB/MYC/SMAD9/TF/BMP5/NBL1/INHBB/CDKN2B/ID4",58
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","108/2723","205/6792",0.526829268292683,1.31407432620048,3.73518723321025,0.000144095093909277,0.00628614847179221,0.00521396721382252,"MAD2L1/CCNE2/CHEK1/CDKN2A/CCNA2/TLN1/BUB3/PTTG1/PIK3R1/ESPL1/XPO1/CCNB2/TGFBR2/BUB1B/CDKN2C/E2F1/KAT5/E2F3/ATR/SMAD2/CCNE1/ANAPC11/TCF3/ZFP36/CDC23/FOS/NFKB2/CDK2/MAPK8/ANAPC4/CCND2/JAK1/MAP2K4/POLB/STAT5B/CDC20/ATF2/ADCY9/EGR1/VDAC1/VDAC3/GPS2/SMAD3/KAT2B/CREB3L4/MAP3K1/NRAS/PRKACB/IKBKB/RANBP1/TNFRSF1A/BCL2L1/JAK3/TGFB3/NFKB1/CREB3/TGFB1/ADCY6/MAP2K2/ADCY4/MAP3K3/PPP3CB/CD4/TLN2/NFKBIA/CCND3/MAPK1/ICAM1/CHEK2/HLA-E/PPP3CC/ETS1/CREB3L2/JUN/AKT3/RELB/CANX/E2F2/CREB1/ATF6B/CREB3L1/SLC25A6/ITGB2/CCND1/IL1R1/SRF/HLA-G/PIK3CD/HLA-DRB4/MAD1L1/IL2RG/CD40/ITGAL/NRP1/B2M/TP53/ADCY5/MSX2/MYC/HLA-DRB1/HLA-B/IL1R2/SPI1/HLA-DMA/RB1/HLA-DRA/CDKN2B/CD3E",108
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","58/2723","100/6792",0.58,1.44669849430775,3.6811487194744,0.000202983401780045,0.00751386701289641,0.00623228299968787,"CCNE2/PIK3R1/E2F1/TCF7L2/E2F3/AR/CCNE1/CDK2/MDM2/FGFR1/PDGFA/ARAF/CTNNB1/FOXO1/FGFR2/CREB3L4/HSP90AB1/NRAS/IGF1/ZEB1/IKBKB/SOS2/EGFR/NFKB1/CREB3/PDGFRB/MAP2K2/PDGFC/NFKBIA/MAPK1/TCF7L1/BCL2/TMPRSS2/ERBB2/ERG/CREB3L2/AKT3/GRM5/E2F2/SOS1/ETV5/CREB1/CREB3L1/IGF1R/CCND1/PDGFB/SLC19A1/PIK3CD/PDGFD/TP53/LEF1/PDGFRA/IL1R2/TCF7/FOLR3/PLAT/RB1/GRM1",58
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","76/2723","138/6792",0.550724637681159,1.37367673122675,3.6277808267435,0.000231846005619762,0.00751386701289641,0.00623228299968787,"RHOA/RRAS/PIK3R1/AGPAT5/RHEB/LPAR1/PDGFA/DNM2/RALB/CYTH3/ADCY9/RAPGEF3/MRAS/PLPP3/PRKCA/TSC2/DGKA/NRAS/PTK2B/PLPP1/SOS2/GNAS/EGFR/AGPAT1/PLD1/GAB1/PTPN11/PIP5K1A/ADCY6/PDGFRB/MAP2K2/CYTH1/ADCY4/FCER1A/SHC1/PDGFC/PIP5K1C/MAPK1/LPAR4/KIT/SYK/GNA13/DGKZ/DGKQ/SHC3/AKT3/GRM5/RALGDS/PTGFR/AGPAT3/SOS1/INSR/AGTR1/PDGFB/AGPAT2/PIK3CD/CYTH4/PLA2G4C/DGKH/FYN/PDGFD/LPAR2/KITLG/CXCL8/PLA2G4A/ADCY5/CYTH2/PIK3R5/PDGFRA/FCER1G/CXCR2/GRM8/AVPR1A/AGT/PIK3CG/GRM1",76
