"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","122/1870","226/6792",0.539823008849557,1.96068335620652,9.05317490337678,1.36753346029162e-17,4.74534110721194e-15,3.2964753937556e-15,"ZYX/PLEC/FHL1/TLN1/PDLIM7/SYNPO2/SYNE1/ITGA7/SPTBN1/COL6A1/CAPZB/ACTB/PDLIM2/ITGA5/MYL9/BGN/ATP1A2/MYH11/CSRP1/CAPN3/TMEM43/PDLIM5/NID1/SSPN/DIAPH2/DAAM2/MYOT/SPTAN1/DAG1/LAMA2/COL6A2/FMNL3/FLNC/TMOD1/SUN2/FBN1/ITGB3/MYH9/ITGB4/LMNA/VIM/THBS1/LMOD1/FBLN1/MYL5/TNNT3/ACTC1/ATP1B2/HSPG2/LDB3/ELN/TLN2/DES/SNTA1/COL5A3/ANK2/COL27A1/ITGA8/SNTB2/VCL/ACTN2/INF2/FMNL2/FBLN2/ANK3/TPM3/PDLIM4/SGCA/TPM2/MYOZ3/FN1/DMD/ACTA1/MYOZ2/FMNL1/THBS4/SDC3/ITGA6/MYBPC1/ACTG2/TRIM63/DCN/OBSCN/SGCD/COL4A3/CKM/VCAN/XIRP2/SNTB1/COL4A2/SDC2/MYOM1/TPM1/ENO1/TCAP/TPM4/TTN/MYL3/ITGA2/TNNC1/MYL4/LMOD3/TNNC2/TNNI2/TNNI1/ITGB1/MYL2/MYL1/TNNT2/SGCB/ITGA9/LMOD2/MYOM3/MYH8/MYH7/CSRP3/COL4A4/MYH1/MYH2/TRIM54/FHL2/SGCG",122
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","101/1870","218/6792",0.463302752293578,1.68275523720748,6.31531912131982,1.34504707129641e-09,2.33365666869927e-07,1.62113568066778e-07,"RHOA/RRAS/PIK3R1/ARPC4/ITGA7/SSH1/ACTB/ITGA5/PPP1R12B/MYL9/LPAR1/WASF2/FGFR1/PDGFA/MYH11/SLC9A1/PXN/ARAF/MRAS/CXCL12/WASL/PIP4K2A/DIAPH2/FGFR2/GIT1/ACTR2/SOS2/GSN/ITGB3/MYH9/ITGB4/CFL2/ARHGAP35/ARPC2/PIP5K1A/PDGFRB/MAP2K2/MYL10/SPATA13/IQGAP1/EZR/MYL5/DOCK1/MSN/FGF2/CFL1/PDGFC/PIP5K1C/NCKAP1L/APC/PFN1/MAPK1/LPAR4/ACTN1/SRC/ITGA8/GNA13/PIP4K2B/AKT3/VCL/LIMK1/VAV3/FGF1/SOS1/MYLK/LIMK2/FN1/APC2/FGF10/ITGA6/C7/FGF7/ITGB2/PDGFB/ARHGEF6/EGFR/CRK/BCAR1/ITGAM/FGFR3/PIK3CD/CHRM2/PDGFD/GNG12/ARHGEF7/ITGAD/RAC2/RDX/ITGAL/ITGA2/C6/FGD3/TIAM1/RGCC/CHRM3/PDGFRA/BAIAP2/ITGB1/MYL2/ITGA9/BDKRB2",101
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","54/1870","101/6792",0.534653465346535,1.94190713188966,5.87814264708399,2.70920789285395e-08,3.1336504627344e-06,2.17687230688967e-06,"ITGA7/ACTB/ITGA5/ADCY9/SSPN/DAG1/LAMA2/IGF1/PRKACB/GNAS/TGFB3/ITGB3/ITGB4/LMNA/TGFB1/ADCY6/ADCY4/ACTC1/DES/CACNB2/SNTA1/ITGA8/CACNB1/SNTB2/SLC8A1/ATP2A3/TPM3/SGCA/TPM2/ATP2A2/DMD/ITGA6/SGCD/SNTB1/TPM1/CACNA1C/TPM4/TTN/MYL3/ITGA2/TNNC1/PLN/ADCY5/ITGB1/MYL2/CACNG3/TNNT2/ATP2A1/SGCB/ITGA9/AGT/MYH7/ADRB1/SGCG",54
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","86/1870","193/6792",0.44559585492228,1.61844227092627,5.37224264998814,2.05508438950739e-07,1.78278570789766e-05,1.23845875051893e-05,"ZYX/ILK/TLN1/RHOA/PIK3R1/RAPGEF1/ITGA7/COL6A1/ACTB/LAMB2/PARVB/ITGA5/PPP1R12B/MYL9/PRKCB/CCND2/PDGFA/PXN/CTNNB1/PRKCA/RAP1A/VASP/LAMA2/COL6A2/LAMA4/IGF1/SOS2/ITGB3/ITGB4/ARHGAP35/THBS1/PIP5K1A/PDGFRB/MYL10/MYL5/DOCK1/SHC1/PDGFC/PIP5K1C/TLN2/CCND3/MAPK1/VWF/BCL2/ACTN1/SRC/ITGA8/EMP1/ERBB2/SHC3/JUN/AKT3/VCL/VAV3/FLNA/SOS1/MYLK/FN1/PARVA/THBS4/ITGA6/IGF1R/CCND1/PDGFB/CAV2/EGFR/FLNB/CRK/BCAR1/RASGRF1/COL4A3/PIK3CD/COL4A2/PDGFD/RAC2/TNC/ITGA2/PARVG/FYN/FLT1/PDGFRA/ITGB1/MYL2/ITGA9/TNR/COL4A4",86
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","50/1870","96/6792",0.520833333333333,1.89171122994652,5.42336699624831,2.62907760969518e-07,1.82457986112846e-05,1.26749215288463e-05,"ITGA7/ACTB/ITGA5/SSPN/DAG1/LAMA2/IGF1/TGFB3/ITGB3/ITGB4/LMNA/TGFB1/PRKAG1/ACTC1/DES/CACNB2/SNTA1/ITGA8/CACNB1/SNTB2/SLC8A1/ATP2A3/PRKAB1/TPM3/SGCA/TPM2/ATP2A2/DMD/ITGA6/ACE/SGCD/SNTB1/TPM1/CACNA1C/TPM4/TTN/MYL3/ITGA2/TNNC1/EDN1/ITGB1/MYL2/CACNG3/TNNT2/ATP2A1/SGCB/ITGA9/AGT/MYH7/SGCG",50
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","65/1870","138/6792",0.471014492753623,1.71076493838642,5.19925364460434,5.8233120264687e-07,3.36781545530773e-05,2.33954114747602e-05,"RHOA/RRAS/PIK3R1/LPAR1/PDGFA/DNM2/RALB/CYTH3/ADCY9/RAPGEF3/MRAS/PLPP3/PRKCA/TSC2/DGKA/PTK2B/PLPP1/SOS2/GNAS/AGPAT1/PLD1/GAB1/PTPN11/PIP5K1A/ADCY6/PDGFRB/MAP2K2/CYTH1/ADCY4/FCER1A/SHC1/PDGFC/PIP5K1C/MAPK1/LPAR4/GNA13/DGKZ/DGKQ/SHC3/AKT3/RALGDS/PTGFR/AGPAT3/SOS1/INSR/AGTR1/PDGFB/EGFR/AGPAT2/PIK3CD/CYTH4/PLA2G4C/PDGFD/PLA2G4A/ADCY5/FYN/PIK3R5/PDGFRA/FCER1G/CXCR2/GRM5/AVPR1A/AGT/PIK3CG/GRM1",65
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","67/1870","145/6792",0.462068965517241,1.67827401807118,5.08854016522353,9.38387574013209e-07,4.65172125975119e-05,3.23143991652669e-05,"ATP2B4/PPP2R5D/GNAQ/ATP1A2/GNAI2/SLC9A1/ADCY9/RAPGEF3/PRKCA/CAMK2D/PRKACB/CAMK2G/PPP2R1A/GNAS/PPP1R1A/CALM1/CREB3/ADRB2/ADCY6/ADCY4/ACTC1/ATP1B2/SCN4B/MAPK1/CACNB2/BCL2/ADRA1A/CACNB1/SLC8A1/PPP2R5B/CREB3L2/POPDC2/AKT3/ATP2A3/TPM3/CALML6/TPM2/ATP2A2/CREB1/ATF6B/ADRA1B/CREB3L1/AGTR1/PPP2R1B/SCN1B/TPM1/PPP2CB/PPP2R2D/CACNA1C/TPM4/CAMK2A/ATP2B2/MYL3/MAPK14/TNNC1/PLN/MYL4/ADCY5/PIK3R5/MYL2/CACNG3/TNNT2/ATP2A1/AGT/MYH7/PIK3CG/ADRB1",67
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","49/1870","100/6792",0.49,1.77972192513369,4.84148559547509,3.52517508543212e-06,0.000135915083849439,9.44169701244393e-05,"NR1H2/PIK3R1/STAT3/PRKCD/RPS6KA2/PRKCB/PYGM/PPARA/PTPA/SLC27A4/SLC27A1/FOXO1/ACACB/IKBKB/TNFRSF1A/PRKCE/NFKB1/CREB3/PTPN11/PRKAG1/PPARGC1B/PYGB/MLXIPL/GYS1/NFKBIA/GFPT2/PPP1R3C/G6PC3/PPARGC1A/CREB3L2/AKT3/CD36/PRKAB1/PRKCQ/TBC1D4/MLXIP/NR1H3/INSR/CREB1/SLC2A4/CREB3L1/SOCS3/PYGL/PPP1R3B/NOS3/PIK3CD/IRS1/SLC27A6/AGT",49
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","49/1870","100/6792",0.49,1.77972192513369,4.84148559547509,3.52517508543212e-06,0.000135915083849439,9.44169701244393e-05,"PIK3R1/TCF7L2/AR/FGFR1/PDGFA/ARAF/CTNNB1/FOXO1/FGFR2/HSP90AB1/IGF1/ZEB1/IKBKB/SOS2/NFKB1/CREB3/PDGFRB/MAP2K2/PDGFC/NFKBIA/MAPK1/TCF7L1/BCL2/TMPRSS2/ERBB2/ERG/CREB3L2/AKT3/SOS1/ETV5/CREB1/CREB3L1/IGF1R/CCND1/PDGFB/EGFR/SLC19A1/PIK3CD/PDGFD/TP53/LEF1/PDGFRA/IL1R2/TCF7/FOLR3/PLAT/GRM5/RB1/GRM1",49
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","83/1870","199/6792",0.417085427135678,1.51488995781044,4.54376943460159,8.57780807846826e-06,0.000297649940322849,0.000206770321049393,"TLN1/RHOA/RRAS/PIK3R1/RAPGEF1/CSF1/ACTB/RASGRP2/GNAQ/RGS14/PRKCB/LPAR1/GNAI2/FGFR1/PDGFA/RALB/CSF1R/ADCY9/RAPGEF3/CTNNB1/MRAS/PRKCA/APBB1IP/RAP1A/VASP/FGFR2/IGF1/SIPA1L1/GNAS/ITGB3/CALM1/THBS1/ADCY6/PDGFRB/MAP2K2/ADCY4/RAPGEF2/FGF2/PDGFC/TLN2/PFN1/MAPK1/LPAR4/SRC/GRIN1/AKT3/VAV3/RALGDS/FGF1/CALML6/DOCK4/EPHA2/SIPA1/INSR/FGF10/FGF7/ITGB2/IGF1R/PDGFB/EGFR/CRK/BCAR1/ITGAM/FGFR3/PIK3CD/FPR1/PDGFD/NGF/GRIN2A/TEK/RAC2/LCP2/ITGAL/MAPK14/EFNA5/ADCY5/FLT1/TIAM1/PDGFRA/PLCE1/ITGB1/NGFR/RASSF5",83
