"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_Symbol","Gene_Description","Significance","abs_logFC"
"204023_at",2.91677231890808,8.21809719732265,17.6654011423671,4.69736566217689e-28,2.31143272138738e-23,53.1233136178358,"RFC4","replication factor C subunit 4","Upregulated",2.91677231890808
"219787_s_at",4.21117864587999,7.39571430564443,16.9645008370858,5.08243159302013e-27,1.25045605698871e-22,50.8255800462278,"ECT2","epithelial cell transforming 2","Upregulated",4.21117864587999
"205339_at",3.8738417580798,6.88902863358708,16.5684540519993,2.00421662615273e-26,3.28738291743658e-22,49.4990012191092,"STIL","SCL/TAL1 interrupting locus","Upregulated",3.8738417580798
"201477_s_at",2.79140773076346,9.25610792348275,16.4770223969766,2.75868210703057e-26,3.39366176101634e-22,49.1898165533276,"RRM1","ribonucleotide reductase catalytic subunit M1","Upregulated",2.79140773076346
"218875_s_at",3.73210276824465,6.77093175954978,15.7055309002364,4.26138908576193e-25,4.19380345486175e-21,46.5367426897119,"FBXO5","F-box protein 5","Upregulated",3.73210276824465
"225686_at",2.09955398307737,6.82252854618534,15.6108998212985,5.99255879966014e-25,4.91459734758128e-21,46.205839388847,"SKA2","spindle and kinetochore associated complex subunit 2","Upregulated",2.09955398307737
"202690_s_at",2.35962531352743,9.44581212823727,15.2947719614033,1.88713251690444e-24,1.32657328227596e-20,45.0916783048096,"SNRPD1","small nuclear ribonucleoprotein D1 polypeptide","Upregulated",2.35962531352743
"204127_at",2.47232376230901,7.75919510185277,15.1794865837281,2.87643153645263e-24,1.76925708267781e-20,44.6820142327255,"RFC3","replication factor C subunit 3","Upregulated",2.47232376230901
"218979_at",2.27992973944005,7.82304414471487,14.7520714252203,1.39293080515858e-23,7.61577179215979e-20,43.1475329920383,"RMI1","RecQ mediated genome instability 1","Upregulated",2.27992973944005
"209172_s_at",3.84408149407568,5.51539452976514,14.5899225683955,2.54963406255439e-23,1.20027913237138e-19,42.5589314306676,"CENPF","centromere protein F","Upregulated",3.84408149407568
"214051_at",3.70712449200636,6.79272158701653,14.5762714665631,2.68316915399947e-23,1.20027913237138e-19,42.5092155423472,"TMSB15B///TMSB15A","thymosin beta 15B///thymosin beta 15a","Upregulated",3.70712449200636
"219000_s_at",2.88727975168821,6.44777939703357,14.5517773128193,2.94072181774184e-23,1.20586748738019e-19,42.4199472190683,"DSCC1","DNA replication and sister chromatid cohesion 1","Upregulated",2.88727975168821
"235545_at",3.76774968036356,5.49499339663316,14.3838443268793,5.52410176476797e-23,1.9740610147767e-19,41.8057355604273,"DEPDC1","DEP domain containing 1","Upregulated",3.76774968036356
"218397_at",2.7932271845121,8.35810629128571,14.358425812208,6.07913618103488e-23,1.9740610147767e-19,41.7124357936846,"FANCL","Fanconi anemia complementation group L","Upregulated",2.7932271845121
"205176_s_at",2.54952115259686,8.34498994523262,14.3519912547737,6.22835499873812e-23,1.9740610147767e-19,41.6888036293889,"ITGB3BP","integrin subunit beta 3 binding protein","Upregulated",2.54952115259686
"204146_at",4.68265293950759,6.64884380400468,14.3440013640322,6.41879737363124e-23,1.9740610147767e-19,41.6594514191319,"RAD51AP1","RAD51 associated protein 1","Upregulated",4.68265293950759
